logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.728556526209159561e+00,9.226790703445884867e-02
9.499999999999998224e+00,6.429754007752980227e-01,3.895984237377118214e-02
9.699999999999997513e+00,1.323581059169267382e+00,8.296095266345802910e-02
9.899999999999996803e+00,4.630907212499527081e-01,3.234664605339709204e-02
1.009999999999999609e+01,4.500321784887069687e-01,3.339600306529273699e-02
1.029999999999999538e+01,2.124852536176961570e-01,1.752385132621256739e-02
1.049999999999999467e+01,1.285806224253448482e-01,1.079683495723157173e-02
1.069999999999999396e+01,7.455048006690742635e-02,6.628661529540894742e-03
1.089999999999999325e+01,3.579573235931085562e-02,3.869375501273814976e-03
1.109999999999999254e+01,2.098137864492927857e-02,2.260687432186864361e-03
1.129999999999999183e+01,9.882661467238719119e-03,1.391507283387220318e-03
1.149999999999999112e+01,5.065024643401117542e-03,8.742363453825426848e-04
1.169999999999999041e+01,2.438537078554677256e-03,3.570289913245259508e-04
1.189999999999998970e+01,1.138947818639832752e-03,2.770261538346981676e-04
1.209999999999998899e+01,4.016036031875291098e-04,1.204275219045095226e-04
1.229999999999998828e+01,1.301195674327594630e-04,7.146287580560475698e-05
1.249999999999998757e+01,4.337318914425314983e-05,3.559576558182489845e-05
1.269999999999998685e+01,9.638486476500699585e-06,1.472303128779088652e-05
1.289999999999998614e+01,4.819243238250349792e-06,1.147209355523465126e-05
1.309999999999998543e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
