logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,7.222503456301035962e-01,3.122190884118415666e-02
9.499999999999998224e+00,4.533590627375124749e-01,2.008447435276244919e-02
9.699999999999997513e+00,1.681215493465413102e+00,7.749537972335548974e-02
9.899999999999996803e+00,7.236575646556724362e-01,4.443118314470819591e-02
1.009999999999999609e+01,7.307643420176790361e-01,4.963245894458897384e-02
1.029999999999999538e+01,4.526426019094259567e-01,2.916292777319790322e-02
1.049999999999999467e+01,2.653121915809838471e-01,1.944171071767962500e-02
1.069999999999999396e+01,1.992114513251419805e-01,1.563667814262119718e-02
1.089999999999999325e+01,1.038450532978185681e-01,7.536173357306829267e-03
1.109999999999999254e+01,7.231113837553375390e-02,5.532451123649514101e-03
1.129999999999999183e+01,4.282058258626711411e-02,3.592505833604183688e-03
1.149999999999999112e+01,2.645443254916892209e-02,2.187990684311629831e-03
1.169999999999999041e+01,1.714365461286924269e-02,1.607455032238033895e-03
1.189999999999998970e+01,1.001760027790972798e-02,1.185947340022790219e-03
1.209999999999998899e+01,6.152567200832946906e-03,8.180104473305305646e-04
1.229999999999998828e+01,3.675476176372267055e-03,5.761991514303445045e-04
1.249999999999998757e+01,2.159020970736156599e-03,3.304062917066562743e-04
1.269999999999998685e+01,1.304408503153095100e-03,3.755575647789465878e-04
1.289999999999998614e+01,8.160585216770592292e-04,2.392209432293400688e-04
1.309999999999998543e+01,3.694753149325269112e-04,1.096605829694036844e-04
1.329999999999998472e+01,2.473878195635179707e-04,1.046514571076059423e-04
1.349999999999998401e+01,7.068223416100514610e-05,6.393448637893498583e-05
1.369999999999998330e+01,2.891545942950209875e-05,3.354291769888552969e-05
1.389999999999998259e+01,1.606414412750116710e-05,2.155231096166799532e-05
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
