logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,3.776824861672672395e-01,9.574739168331019776e-03
9.499999999999998224e+00,2.812510353842904154e-01,6.017243284368204576e-03
9.699999999999997513e+00,1.426879931566751303e+00,3.345048805021240412e-02
9.899999999999996803e+00,7.245266348529704192e-01,2.214629377925455070e-02
1.009999999999999609e+01,7.346984509145041420e-01,2.452991394504926148e-02
1.029999999999999538e+01,4.761878179571044645e-01,1.738346595793174507e-02
1.049999999999999467e+01,2.745297974813439845e-01,1.105018648002365281e-02
1.069999999999999396e+01,2.131551284278129788e-01,8.048411954929671902e-03
1.089999999999999325e+01,1.115397783348916205e-01,4.076130251488401142e-03
1.109999999999999254e+01,7.963638809767430160e-02,4.050905770754024450e-03
1.129999999999999183e+01,4.792898041881248072e-02,2.231831729648469775e-03
1.149999999999999112e+01,3.022468717589344919e-02,1.333106207907765574e-03
1.169999999999999041e+01,1.988098477219544385e-02,1.100205073529663411e-03
1.189999999999998970e+01,1.181196517695161027e-02,9.111797226089822250e-04
1.209999999999998899e+01,7.856972892760822128e-03,6.657982159024087958e-04
1.229999999999998828e+01,4.750167418502095409e-03,4.851557696789014231e-04
1.249999999999998757e+01,2.906003672664961377e-03,3.243962893121156215e-04
1.269999999999998685e+01,1.892356178219637601e-03,2.991383467530974892e-04
1.289999999999998614e+01,1.061839926827827128e-03,1.484434703179302192e-04
1.309999999999998543e+01,6.248952065597954044e-04,1.151587390403342715e-04
1.329999999999998472e+01,3.662624861070266588e-04,9.388939119473664694e-05
1.349999999999998401e+01,2.024082160065146811e-04,8.384190617583971400e-05
1.369999999999998330e+01,1.220874953690088863e-04,6.393448637893497228e-05
1.389999999999998259e+01,4.658601796975336834e-05,2.585279330676372398e-05
1.409999999999998188e+01,3.694753149325267214e-05,2.740337705936932497e-05
1.429999999999998117e+01,1.124490088925081731e-05,1.532421682043518286e-05
1.449999999999998046e+01,3.212828825500233336e-06,1.400439617324998791e-05
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
