logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,9.156947692134724814e-01,9.340444440252591851e-02
9.499999999999998224e+00,3.805531487228516752e-01,3.581321946303948900e-02
9.699999999999997513e+00,6.032407402759238924e-01,6.647421568551981075e-02
9.899999999999996803e+00,2.000499996485975429e-01,2.287799978917552310e-02
1.009999999999999609e+01,1.724582256952015558e-01,2.230432129384894366e-02
1.029999999999999538e+01,6.651840800315685087e-02,9.060418816503705564e-03
1.049999999999999467e+01,3.786640053734575961e-02,5.809363130944003584e-03
1.069999999999999396e+01,1.671956120790321285e-02,3.291580371477532876e-03
1.089999999999999325e+01,6.881879344221500730e-03,1.487147632261309358e-03
1.109999999999999254e+01,3.302788032614239946e-03,8.179536609859615554e-04
1.129999999999999183e+01,1.182321007784085942e-03,4.714874192579085357e-04
1.149999999999999112e+01,4.883499814760355450e-04,1.617939255384570195e-04
1.169999999999999041e+01,1.285131530200093368e-04,5.376090900784936640e-05
1.189999999999998970e+01,2.570263060400186669e-05,2.404260941474638643e-05
1.209999999999998899e+01,6.425657651000466672e-06,1.285131530200093504e-05
1.229999999999998828e+01,1.285131530200093334e-05,1.573958250676189418e-05
1.249999999999998757e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.269999999999998685e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.289999999999998614e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.309999999999998543e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
