logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.691509397022315841e+00,8.365870314368867300e-02
9.499999999999998224e+00,6.272148689718066716e-01,3.160406592639564138e-02
9.699999999999997513e+00,1.287512236359789286e+00,7.311243821786234109e-02
9.899999999999996803e+00,4.479904257701015635e-01,2.951023694276232873e-02
1.009999999999999609e+01,4.371792567722933009e-01,3.093582159075056182e-02
1.029999999999999538e+01,2.060162227775514943e-01,1.218782327363019703e-02
1.049999999999999467e+01,1.237035482682354859e-01,9.899205282074646089e-03
1.069999999999999396e+01,7.212158147482924941e-02,5.478693723526838026e-03
1.089999999999999325e+01,3.413630627093998393e-02,3.628797356383286609e-03
1.109999999999999254e+01,2.012194693410795931e-02,2.190199808406880378e-03
1.129999999999999183e+01,9.391098656937183972e-03,9.542750645991085945e-04
1.149999999999999112e+01,4.796753436471849069e-03,7.549874302733661311e-04
1.169999999999999041e+01,2.097977223051652237e-03,4.069146323530083631e-04
1.189999999999998970e+01,1.111638773623081040e-03,2.760790371497827455e-04
1.209999999999998899e+01,3.823266302345278123e-04,1.335934250183662788e-04
1.229999999999998828e+01,1.349388106710097874e-04,7.438236496114755973e-05
1.249999999999998757e+01,3.534111708050256627e-05,2.668776058937129072e-05
1.269999999999998685e+01,2.570263060400186669e-05,2.800879234649997920e-05
1.289999999999998614e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.309999999999998543e+01,3.212828825500233336e-06,9.638486476500699585e-06
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
