iz,z,logMh_center,median_eff,p16,p84
iz82,,9.1,nan,nan,nan
iz82,,9.299999999999999,0.00031712724012322724,6.403933832189069e-05,0.0011153740575537085
iz82,,9.499999999999998,0.0004651005147024989,7.614348462084308e-05,0.0016286456491798156
iz82,,9.699999999999998,0.0009569674730300903,0.00028530690935440366,0.002514939764514565
iz82,,9.899999999999997,0.0015493560349568725,0.0004357715020887554,0.004283542465418578
iz82,,10.099999999999996,0.002672539558261633,0.0008358037518337368,0.007329249475151298
iz82,,10.299999999999995,0.005052544176578522,0.0014172188006341456,0.014831238985061645
iz82,,10.499999999999995,0.00901070237159729,0.0025771038420498373,0.025165594965219498
iz82,,10.699999999999994,0.016911974176764488,0.00565420800819993,0.04550160959362984
iz82,,10.899999999999993,0.02966112457215786,0.009719786159694195,0.07337919354438781
iz82,,11.099999999999993,0.03999074548482895,0.013561011515557764,0.11944980353116989
iz82,,11.299999999999992,0.06686273962259293,0.01892121382057667,0.17313918232917785
iz82,,11.499999999999991,0.12576480209827423,0.033943204954266545,0.1770742058753967
iz82,,11.69999999999999,0.11975720524787903,0.04668656140565872,0.18630730807781223
iz82,,11.89999999999999,0.09812384843826294,0.05579925715923309,0.1404484397172928
iz82,,12.099999999999989,0.08253394067287445,0.06991445183753968,0.09515342205762863
iz82,,12.299999999999988,0.01508889626711607,0.01508889626711607,0.01508889626711607
iz82,,12.499999999999988,nan,nan,nan
iz82,,12.699999999999987,nan,nan,nan
iz82,,12.899999999999986,nan,nan,nan
iz82,,13.099999999999985,nan,nan,nan
iz82,,13.299999999999985,nan,nan,nan
iz82,,13.499999999999984,nan,nan,nan
iz82,,13.699999999999983,nan,nan,nan
iz82,,13.899999999999983,nan,nan,nan
iz100,,9.1,nan,nan,nan
iz100,,9.299999999999999,0.0004083560488652438,7.547035784227774e-05,0.0012769420864060521
iz100,,9.499999999999998,0.0006598687032237649,0.00010578763496596366,0.0019424963928759093
iz100,,9.699999999999998,0.0012238132767379284,0.0004005786380730569,0.0030080150626599785
iz100,,9.899999999999997,0.002019925508648157,0.0006524487864226103,0.004897229652851821
iz100,,10.099999999999996,0.002899386454373598,0.0010334891965612769,0.006918555144220588
iz100,,10.299999999999995,0.005040602758526802,0.001682573608122766,0.013032907582819452
iz100,,10.499999999999995,0.008423836901783943,0.002636723779141903,0.02345551922917366
iz100,,10.699999999999994,0.01537497527897358,0.004927189629524946,0.04330750048160551
iz100,,10.899999999999993,0.026078764349222183,0.008728546798229217,0.06961893826723098
iz100,,11.099999999999993,0.04667899012565613,0.0154351893812418,0.11373134106397628
iz100,,11.299999999999992,0.06598733365535736,0.024435043334960938,0.17047572135925293
iz100,,11.499999999999991,0.10601767152547836,0.032238121628761295,0.2933030700683594
iz100,,11.69999999999999,0.1331253945827484,0.06134035617113113,0.2718300151824951
iz100,,11.89999999999999,0.09959888458251953,0.03092703327536583,0.16709422945976257
iz100,,12.099999999999989,0.07870637625455856,0.051829842925071715,0.1044832119345665
iz100,,12.299999999999988,0.02942471392452717,0.005555658796802163,0.07729452192783356
iz100,,12.499999999999988,nan,nan,nan
iz100,,12.699999999999987,nan,nan,nan
iz100,,12.899999999999986,nan,nan,nan
iz100,,13.099999999999985,nan,nan,nan
iz100,,13.299999999999985,nan,nan,nan
iz100,,13.499999999999984,nan,nan,nan
