log_Mhalo,eta_median,eta_p16,eta_p84
10.1,0.0004130268353037536,0.00013109675783198326,0.001144383042119443
10.299999999999999,0.0008025671704672277,0.00023070504073984926,0.002342623025178909
10.499999999999998,0.0013819673331454396,0.0004024708515498787,0.003922880794852972
10.699999999999998,0.0026719525922089815,0.0008337491960264745,0.007064745929092169
10.899999999999997,0.004287928342819214,0.0013745584804564714,0.011277673207223416
11.099999999999996,0.006937990430742502,0.002333711525425315,0.01788441866636276
11.299999999999995,0.010011582635343075,0.0032819762360304593,0.025537076294422152
11.499999999999995,0.013268454931676388,0.0046750884689390655,0.03107333697378635
11.699999999999994,0.013800051063299179,0.00494090398773551,0.02824496068060398
11.899999999999993,0.011250277049839497,0.004397675450891256,0.021232627257704736
12.099999999999993,0.009242757223546505,0.003889450244605541,0.0175479955971241
12.299999999999992,0.007129628211259842,0.0032452898565679786,0.010178580544888972
12.499999999999991,0.002535970415920019,0.0014883770933374763,0.005867293570190668
12.69999999999999,,,
12.89999999999999,,,
13.099999999999989,,,
13.299999999999988,,,
13.499999999999988,,,
13.699999999999987,,,
13.899999999999986,,,
14.099999999999985,,,
14.299999999999985,,,
14.499999999999984,,,
14.699999999999983,,,
14.899999999999983,,,
15.099999999999982,,,
15.299999999999981,,,
