iz,z,logMh_center,phi,centrals_only
iz82,,10.1,0.05301167562075386,True
iz82,,10.299999999999999,0.018168547008203823,True
iz82,,10.499999999999998,0.009252947017440673,True
iz82,,10.699999999999998,0.003325277834392742,True
iz82,,10.899999999999997,0.0015903502686226158,True
iz82,,11.099999999999996,0.0004337318914425316,True
iz82,,11.299999999999995,0.00014457729714751052,True
iz82,,11.499999999999995,4.819243238250351e-05,True
iz82,,11.699999999999994,0.0,True
iz82,,11.899999999999993,0.0,True
iz82,,12.099999999999993,0.0,True
iz82,,12.299999999999992,0.0,True
iz82,,12.499999999999991,0.0,True
iz82,,12.69999999999999,0.0,True
iz82,,12.89999999999999,0.0,True
iz82,,13.099999999999989,0.0,True
iz82,,13.299999999999988,0.0,True
iz82,,13.499999999999988,0.0,True
iz82,,13.699999999999987,0.0,True
iz82,,13.899999999999986,0.0,True
iz82,,14.099999999999985,0.0,True
iz82,,14.299999999999985,0.0,True
iz82,,14.499999999999984,0.0,True
iz82,,14.699999999999983,0.0,True
iz82,,14.899999999999983,0.0,True
iz100,,10.1,0.19411911763672413,True
iz100,,10.299999999999999,0.09031261828481157,True
iz100,,10.499999999999998,0.05291529075598885,True
iz100,,10.699999999999998,0.020433591330181487,True
iz100,,10.899999999999997,0.008481868099320618,True
iz100,,11.099999999999996,0.004433703779190322,True
iz100,,11.299999999999995,0.0014457729714751051,True
iz100,,11.499999999999995,0.0007710789181200561,True
iz100,,11.699999999999994,0.00038553945906002806,True
iz100,,11.899999999999993,0.0,True
iz100,,12.099999999999993,0.0,True
iz100,,12.299999999999992,0.0,True
iz100,,12.499999999999991,0.0,True
iz100,,12.69999999999999,0.0,True
iz100,,12.89999999999999,0.0,True
iz100,,13.099999999999989,0.0,True
iz100,,13.299999999999988,0.0,True
iz100,,13.499999999999988,0.0,True
iz100,,13.699999999999987,0.0,True
iz100,,13.899999999999986,0.0,True
iz100,,14.099999999999985,0.0,True
iz100,,14.299999999999985,0.0,True
iz100,,14.499999999999984,0.0,True
iz100,,14.699999999999983,0.0,True
iz100,,14.899999999999983,0.0,True
iz105,,10.1,0.2350344927294696,True
iz105,,10.299999999999999,0.10891489718445793,True
iz105,,10.499999999999998,0.06110800426101445,True
iz105,,10.699999999999998,0.026554030242759433,True
iz105,,10.899999999999997,0.011758953501330856,True
iz105,,11.099999999999996,0.005060205400162868,True
iz105,,11.299999999999995,0.002216851889595161,True
iz105,,11.499999999999995,0.0007710789181200561,True
iz105,,11.699999999999994,0.00019276972953001403,True
iz105,,11.899999999999993,4.819243238250351e-05,True
iz105,,12.099999999999993,4.819243238250351e-05,True
iz105,,12.299999999999992,0.0,True
iz105,,12.499999999999991,0.0,True
iz105,,12.69999999999999,0.0,True
iz105,,12.89999999999999,0.0,True
iz105,,13.099999999999989,0.0,True
iz105,,13.299999999999988,0.0,True
iz105,,13.499999999999988,0.0,True
iz105,,13.699999999999987,0.0,True
iz105,,13.899999999999986,0.0,True
iz105,,14.099999999999985,0.0,True
iz105,,14.299999999999985,0.0,True
iz105,,14.499999999999984,0.0,True
iz105,,14.699999999999983,0.0,True
iz105,,14.899999999999983,0.0,True
iz120,,10.1,0.4353704341435367,True
iz120,,10.299999999999999,0.20968527329627276,True
iz120,,10.499999999999998,0.12838463986698934,True
iz120,,10.699999999999998,0.06771036749741743,True
iz120,,10.899999999999997,0.030023885374299685,True
iz120,,11.099999999999996,0.01773481511676129,True
iz120,,11.299999999999995,0.007758981613583064,True
iz120,,11.499999999999995,0.003951779455365288,True
iz120,,11.699999999999994,0.0018795048629176368,True
iz120,,11.899999999999993,0.0004819243238250351,True
iz120,,12.099999999999993,0.0004819243238250351,True
iz120,,12.299999999999992,9.638486476500702e-05,True
iz120,,12.499999999999991,4.819243238250351e-05,True
iz120,,12.69999999999999,0.0,True
iz120,,12.89999999999999,0.0,True
iz120,,13.099999999999989,0.0,True
iz120,,13.299999999999988,0.0,True
iz120,,13.499999999999988,0.0,True
iz120,,13.699999999999987,0.0,True
iz120,,13.899999999999986,0.0,True
iz120,,14.099999999999985,0.0,True
iz120,,14.299999999999985,0.0,True
iz120,,14.499999999999984,0.0,True
iz120,,14.699999999999983,0.0,True
iz120,,14.899999999999983,0.0,True
iz142,,10.1,0.6841718983902747,True
iz142,,10.299999999999999,0.36517012430635654,True
iz142,,10.499999999999998,0.22174944553602613,True
iz142,,10.699999999999998,0.13166172526899958,True
iz142,,10.899999999999997,0.06660194155261985,True
iz142,,11.099999999999996,0.039132255094592845,True
iz142,,11.299999999999995,0.018473765746626344,True
iz142,,11.499999999999995,0.010152539088580739,True
iz142,,11.699999999999994,0.005333295850330388,True
iz142,,11.899999999999993,0.0020562104483201494,True
iz142,,12.099999999999993,0.0015421578362401123,True
iz142,,12.299999999999992,0.0006746940533550491,True
iz142,,12.499999999999991,0.00016064144127501167,True
iz142,,12.69999999999999,0.0,True
iz142,,12.89999999999999,0.0,True
iz142,,13.099999999999989,3.2128288255002334e-05,True
