iz,z,n_ivols,r,xi,bin_idx
iz155,1.49551,1,0.11894898499791982,524365.2912581771,0
iz155,1.49551,1,0.1660869223132454,305227.7113554125,1
iz155,1.49551,1,0.22955830566557406,146345.99608801096,2
iz155,1.49551,1,0.31714162480709956,73141.43098331509,3
iz155,1.49551,1,0.44203959469769344,39004.296552381835,4
iz155,1.49551,1,0.6128418160703393,19546.341919489147,5
iz155,1.49551,1,0.8483116052777666,10438.68671909937,6
iz155,1.49551,1,1.1850905999826278,5791.608212976695,7
iz155,1.49551,1,1.625122530840309,3268.8624155051325,8
iz155,1.49551,1,2.27611638895394,1747.577888604538,9
iz155,1.49551,1,3.1304002665535213,894.5435555359362,10
iz155,1.49551,1,4.322036107097459,402.90351659818026,11
iz155,1.49551,1,5.959290110772457,136.2303354497125,12
iz155,1.49551,1,8.269159446464078,39.605534697840405,13
iz155,1.49551,1,11.033120012583385,5.429145673224835,14
iz155,1.49551,1,16.657801493469158,0.034163705423198465,15
iz155,1.49551,1,22.56567652025863,0.200182571095179,16
iz155,1.49551,1,31.251034265075123,-0.14324597731822197,17
iz155,1.49551,1,43.87927180253726,-0.01184856288345204,18
iz155,1.49551,2,0.11909157858073056,275634.00981063483,0
iz155,1.49551,2,0.16590326870168268,148778.71149539904,1
iz155,1.49551,2,0.22992065529137548,71969.02914202171,2
iz155,1.49551,2,0.3165793396655435,35710.657690293185,3
iz155,1.49551,2,0.4421244970492466,19126.009507277195,4
iz155,1.49551,2,0.614469266841388,9816.807766322836,5
iz155,1.49551,2,0.8483716283657884,5201.8769736427,6
iz155,1.49551,2,1.183489458583897,2854.877478977349,7
iz155,1.49551,2,1.6314021831696621,1584.9647692280405,8
iz155,1.49551,2,2.2753313801008543,857.2371876488693,9
iz155,1.49551,2,3.1306395853391904,444.2210948481581,10
iz155,1.49551,2,4.316302890330395,182.86050557625344,11
iz155,1.49551,2,5.919745552322832,55.22905797422663,12
iz155,1.49551,2,8.21430707548617,11.911417073694683,13
iz155,1.49551,2,11.237534984767235,1.3183006425124035,14
iz155,1.49551,2,16.620902849618222,-0.06324421872486796,15
iz155,1.49551,2,22.658074582410393,-0.028588983188143402,16
iz155,1.49551,2,31.50867764269902,-0.09441007018102132,17
iz155,1.49551,2,44.10683066142099,0.02437610129166745,18
iz155,1.49551,4,0.11911527655200455,154718.86009639202,0
iz155,1.49551,4,0.16611910304276187,87727.34707566231,1
iz155,1.49551,4,0.22996412319944073,48349.29810907723,2
iz155,1.49551,4,0.3189234043659396,27360.42650542628,3
iz155,1.49551,4,0.4436861421228878,16094.019696027048,4
iz155,1.49551,4,0.6140146224824907,9317.770099916806,5
iz155,1.49551,4,0.8492957254157697,5193.430348278515,6
iz155,1.49551,4,1.1772462469222595,2625.5075358291615,7
iz155,1.49551,4,1.6286225639491712,1258.5320348652226,8
iz155,1.49551,4,2.265620281390397,601.6610313768853,9
iz155,1.49551,4,3.1440515455339755,306.64265280562995,10
iz155,1.49551,4,4.358832271336596,161.30188973335711,11
iz155,1.49551,4,6.066067049080814,80.2307210359356,12
iz155,1.49551,4,8.306342862974805,36.35943440473332,13
iz155,1.49551,4,11.231045875480833,7.857641913165324,14
iz155,1.49551,4,16.07059681980129,1.19251392278106,15
iz155,1.49551,4,22.593343283996028,0.6181722995408121,16
iz155,1.49551,4,31.435455522917486,0.10842252978660949,17
iz155,1.49551,4,43.8412623116073,0.001962084796719221,18
iz155,1.49551,8,0.11934783476562584,77176.4599044079,0
iz155,1.49551,8,0.16613326473361445,41124.29581850949,1
iz155,1.49551,8,0.23015926144111815,22649.53910399995,2
iz155,1.49551,8,0.31834672021343036,12168.144566271498,3
iz155,1.49551,8,0.44334792217715824,6984.663653353815,4
iz155,1.49551,8,0.6133904387377066,3914.275479595763,5
iz155,1.49551,8,0.8493022793407659,2153.374131318592,6
iz155,1.49551,8,1.1784264078105142,1081.8404182900183,7
iz155,1.49551,8,1.6304501857109446,551.6137798558556,8
iz155,1.49551,8,2.267762585085204,284.59505797723455,9
iz155,1.49551,8,3.147498455742587,153.78259333431663,10
