logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,7.183403329494697509e-01,1.204810809562584240e-03
9.499999999999998224e+00,4.473864139509075022e-01,1.895569007045155852e-03
9.699999999999997513e+00,1.664325652329758487e+00,7.598340172308093443e-03
9.899999999999996803e+00,7.197861059209448298e-01,5.381488282712898474e-03
1.009999999999999609e+01,7.236415005115450771e-01,5.943733327175571013e-04
1.029999999999999538e+01,4.530570568279154164e-01,2.730904501675179841e-04
1.049999999999999467e+01,2.640142087354817035e-01,2.811225222312696559e-03
1.069999999999999396e+01,1.964644826793393029e-01,1.349388106710106006e-03
1.089999999999999325e+01,1.026659451188599720e-01,6.586299092275482714e-04
1.109999999999999254e+01,7.159789037627270480e-02,1.526093692112609479e-03
1.129999999999999183e+01,4.252178950549559411e-02,1.445772971475113577e-04
1.149999999999999112e+01,2.589540033353188164e-02,5.461809003350411723e-04
1.169999999999999041e+01,1.697980034276873329e-02,2.409621619125171949e-04
1.189999999999998970e+01,9.670614764755704196e-03,2.891545942950218481e-04
1.209999999999998899e+01,5.638514588752909992e-03,4.819243238250378591e-05
1.229999999999998828e+01,3.630496572815263955e-03,9.638486476500713815e-05
1.249999999999998757e+01,2.409621619125175418e-03,1.606414412750115355e-04
1.269999999999998685e+01,1.236939097817590016e-03,1.445772971475104904e-04
1.289999999999998614e+01,6.586299092275478377e-04,4.819243238250351486e-05
1.309999999999998543e+01,3.373470266775245498e-04,8.032072063750584907e-05
1.329999999999998472e+01,1.767055854025128517e-04,4.819243238250351486e-05
1.349999999999998401e+01,4.819243238250350809e-05,4.819243238250350809e-05
1.369999999999998330e+01,3.212828825500233421e-05,0.000000000000000000e+00
1.389999999999998259e+01,3.212828825500233421e-05,0.000000000000000000e+00
1.409999999999998188e+01,1.606414412750116710e-05,1.606414412750116710e-05
1.429999999999998117e+01,1.606414412750116710e-05,1.606414412750116710e-05
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
