logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.951279458879311868e+00,7.926048712509070615e-02
9.499999999999998224e+00,6.940513470286879816e-01,2.758213546691951068e-02
9.699999999999997513e+00,1.619265728052117659e+00,6.987902695462999692e-02
9.899999999999996803e+00,5.868553132658727023e-01,3.145359420164728359e-02
1.009999999999999609e+01,5.834175864225874530e-01,3.620858086338762938e-02
1.029999999999999538e+01,2.995159672572592635e-01,2.195968502229408981e-02
1.049999999999999467e+01,1.834203976478083198e-01,1.304408503153094145e-02
1.069999999999999396e+01,1.146337324938483393e-01,6.971838551335506062e-03
1.089999999999999325e+01,5.771846985011169773e-02,3.357406122647746405e-03
1.109999999999999254e+01,3.752584068184272592e-02,2.634519636910189616e-03
1.129999999999999183e+01,1.876292034092136296e-02,1.927697295300139294e-03
1.149999999999999112e+01,1.100393872733830027e-02,9.156562152675667282e-04
1.169999999999999041e+01,5.461809003350396978e-03,8.674637828850629423e-04
1.189999999999998970e+01,2.489942339762680860e-03,2.409621619125174117e-04
1.209999999999998899e+01,1.510029547985109952e-03,1.927697295300139510e-04
1.229999999999998828e+01,6.104374768450443771e-04,1.927697295300140324e-04
1.249999999999998757e+01,2.891545942950210350e-04,6.425657651000466842e-05
1.269999999999998685e+01,4.819243238250350131e-05,1.606414412750116710e-05
1.289999999999998614e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.309999999999998543e+01,1.606414412750116710e-05,1.606414412750116710e-05
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
