logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.812678023347231993e-01,3.745943480998545089e-03
9.499999999999998224e+00,1.622414300301107948e-01,7.858329737602842355e-03
9.699999999999997513e+00,1.018800871881425874e+00,5.298264940423886432e-02
9.899999999999996803e+00,7.019773957411971077e-01,4.487194316750026807e-02
1.009999999999999609e+01,7.188254701021202786e-01,5.681833994324898135e-02
1.029999999999999538e+01,4.919226471299918413e-01,3.845666401540987628e-02
1.049999999999999467e+01,2.787835828463062771e-01,2.452332185918507101e-02
1.069999999999999396e+01,2.222056672292471724e-01,1.794789132133050094e-02
1.089999999999999325e+01,1.165100245279404867e-01,9.728339579045808608e-03
1.109999999999999254e+01,8.354640077830807754e-02,7.910362999767498599e-03
1.129999999999999183e+01,5.065345926283667394e-02,4.327173548876898056e-03
1.149999999999999112e+01,3.183913366070732082e-02,2.233782635923643300e-03
1.169999999999999041e+01,2.194362087816659201e-02,2.420350003211621873e-03
1.189999999999998970e+01,1.367379948132899439e-02,1.612520035777938870e-03
1.209999999999998899e+01,8.610381252340626110e-03,9.023417221916628893e-04
1.229999999999998828e+01,5.577470841068405197e-03,7.271505417931735599e-04
1.249999999999998757e+01,3.540537365701257322e-03,3.009787920897528685e-04
1.269999999999998685e+01,2.069061763622150833e-03,3.052018283286881458e-04
1.289999999999998614e+01,1.471475602079107140e-03,1.101770775473332999e-04
1.309999999999998543e+01,9.124433864420662590e-04,1.658267915057012529e-04
1.329999999999998472e+01,5.204782697310379605e-04,5.527559716856709333e-05
1.349999999999998401e+01,2.698776213420196290e-04,1.105511943371341867e-04
1.369999999999998330e+01,3.212828825500233963e-04,1.202130470737319525e-04
1.389999999999998259e+01,7.068223416100514610e-05,4.262299091928998829e-05
1.409999999999998188e+01,7.710789181200559668e-05,4.808521882949278641e-05
1.429999999999998117e+01,2.570263060400186669e-05,2.404260941474638643e-05
1.449999999999998046e+01,2.570263060400186669e-05,2.404260941474638643e-05
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
