logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.571950397938975730e+00,7.593958056954946967e-02
9.499999999999998224e+00,5.964648842829439745e-01,3.101789628283686123e-02
9.699999999999997513e+00,1.173495367000436662e+00,6.487345690836175682e-02
9.899999999999996803e+00,4.051216507514519560e-01,2.664428698258307360e-02
1.009999999999999609e+01,3.873514945176101953e-01,2.628029643341934368e-02
1.029999999999999538e+01,1.784662155988870069e-01,1.259270543076930829e-02
1.049999999999999467e+01,1.062771647187222418e-01,8.173608916707037278e-03
1.069999999999999396e+01,5.938592801054630443e-02,5.395394810529329822e-03
1.089999999999999325e+01,2.809618807899955106e-02,2.730724955338597205e-03
1.109999999999999254e+01,1.551796322716612886e-02,1.776610096157207712e-03
1.129999999999999183e+01,7.109990190832017783e-03,8.143174361449636266e-04
1.149999999999999112e+01,3.444152500936250617e-03,5.625295373254683880e-04
1.169999999999999041e+01,1.561434809193113556e-03,2.849110806958803132e-04
1.189999999999998970e+01,6.682683957040487033e-04,1.953230822330617635e-04
1.209999999999998899e+01,2.506006483890182231e-04,6.708583539777104583e-05
1.229999999999998828e+01,8.032072063750583552e-05,5.230106405629604034e-05
1.249999999999998757e+01,2.248980177850163801e-05,3.228853008822925877e-05
1.269999999999998685e+01,3.212828825500233336e-06,9.638486476500701279e-06
1.289999999999998614e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.309999999999998543e+01,3.212828825500233336e-06,9.638486476500701279e-06
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
