logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.654092792520540200e+00,6.518829686939975332e-02
9.499999999999998224e+00,6.257466061985530459e-01,2.603997763067938953e-02
9.699999999999997513e+00,1.242770382135872875e+00,6.183089074675196528e-02
9.899999999999996803e+00,4.327841069390089834e-01,2.334120141725920528e-02
1.009999999999999609e+01,4.147119447955701643e-01,2.020869331239646960e-02
1.029999999999999538e+01,1.926251522328665255e-01,1.167863278069335153e-02
1.049999999999999467e+01,1.172843162748860302e-01,6.763004677677986187e-03
1.069999999999999396e+01,6.501159128399723597e-02,2.650583781037694348e-03
1.089999999999999325e+01,3.118050375147976908e-02,2.425685763252676680e-03
1.109999999999999254e+01,1.733321151357376105e-02,1.236939097817590233e-03
1.129999999999999183e+01,8.626445396468127372e-03,9.477845035225692522e-04
1.149999999999999112e+01,4.337318914425314711e-03,3.534111708050255950e-04
1.169999999999999041e+01,1.911633151172638899e-03,1.606414412750115355e-05
1.189999999999998970e+01,7.871430622475572830e-04,8.032072063750582197e-05
1.209999999999998899e+01,2.891545942950210350e-04,1.285131530200093368e-04
1.229999999999998828e+01,8.032072063750584907e-05,1.606414412750117388e-05
1.249999999999998757e+01,1.606414412750116710e-05,1.606414412750116710e-05
1.269999999999998685e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.289999999999998614e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.309999999999998543e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
