r,xi,xi_std
1.169540471284926386e-01,4.286626617797627858e+01,0.000000000000000000e+00
1.561322555293285508e-01,2.735137821462226171e+01,0.000000000000000000e+00
2.082586020651292502e-01,1.741525283721430739e+01,0.000000000000000000e+00
2.780550862314122851e-01,1.139979271732221200e+01,0.000000000000000000e+00
3.710404475349453612e-01,7.662855115167999998e+00,0.000000000000000000e+00
4.952012308366090521e-01,5.291764213018177010e+00,0.000000000000000000e+00
6.610281733762274348e-01,3.762225000716622247e+00,0.000000000000000000e+00
8.818907175445565017e-01,2.729067906084239326e+00,0.000000000000000000e+00
1.177143387071806213e+00,1.993303938857545532e+00,0.000000000000000000e+00
1.570747571293560574e+00,1.489832817521018704e+00,0.000000000000000000e+00
2.095058778928028165e+00,1.110418780111541714e+00,0.000000000000000000e+00
2.794771009397434725e+00,8.114232446399023413e-01,0.000000000000000000e+00
3.727976319708305120e+00,5.671847992490999246e-01,0.000000000000000000e+00
4.973417255231633582e+00,3.815290884481083999e-01,0.000000000000000000e+00
6.632400894400463542e+00,2.297813450003907132e-01,0.000000000000000000e+00
8.848532215312786775e+00,1.053559863970858768e-01,0.000000000000000000e+00
1.181195036046796432e+01,2.910869826674056249e-02,0.000000000000000000e+00
1.575629217377050750e+01,-9.499741028625829919e-03,0.000000000000000000e+00
2.103408347645289922e+01,-2.410012523431437348e-02,0.000000000000000000e+00
