r,xi,xi_std
1.171325787070249813e-01,4.560714383967793850e+01,2.125759493401274014e+00
1.559548039094002525e-01,2.878895962259071695e+01,1.427464640579759525e+00
2.081834290051463310e-01,1.827336829193908585e+01,8.701716136756919573e-01
2.779652558620546721e-01,1.187675605722825978e+01,5.514978595105979320e-01
3.710849288741434604e-01,7.939537005724675467e+00,3.385973770351753398e-01
4.951543419699789284e-01,5.445398325875818735e+00,2.001029576224585549e-01
6.610561480770659193e-01,3.819313581171999594e+00,1.183072328992354760e-01
8.820804828973833889e-01,2.725720684759321166e+00,8.775768646927123440e-02
1.177193107079576251e+00,1.956160508608232984e+00,8.871607226053765394e-02
1.570461832036164740e+00,1.405352370486985025e+00,9.417741065438356429e-02
2.095152577255956050e+00,9.966551880509110228e-01,1.024052950474738516e-01
2.794759251847036552e+00,6.908860813169310777e-01,1.054709511428472829e-01
3.728000271204612304e+00,4.597841381577271735e-01,1.008179824999326235e-01
4.972798882932578657e+00,2.834696760864049425e-01,9.113584852172114392e-02
6.634905163338873813e+00,1.560798438397639765e-01,7.953753786492273603e-02
8.849279789066331503e+00,7.100721186805322716e-02,6.179033976083381230e-02
1.180691479198052818e+01,2.183264797594870396e-02,3.679364965670925414e-02
1.576294141199498178e+01,-1.398816401729396810e-04,1.405074219021580119e-02
2.103355567579156471e+01,-5.154167469833437210e-03,7.277815427653468172e-03
