r,xi,xi_std
1.171016308991263549e-01,1.320965257270515281e+02,1.239049647777108021e+01
1.561797321749943124e-01,8.773472108017858773e+01,1.028337205940702859e+01
2.082108500970791254e-01,5.735285926685092051e+01,8.100635969827003180e+00
2.774629249170552092e-01,3.708221283711524308e+01,6.385058946941981617e+00
3.697817492487313618e-01,2.346209880673672998e+01,4.723824186601216724e+00
4.929215169025178978e-01,1.435631749855385486e+01,3.529315790977586964e+00
6.568703732975514908e-01,8.463478128708384673e+00,2.517646241255492079e+00
8.767682130587729494e-01,4.928263340792352842e+00,1.744810883851359851e+00
1.170791055627947053e+00,2.820883705079583414e+00,1.093624300972590335e+00
1.566030077909861262e+00,1.618242526092576794e+00,6.140270482016503273e-01
2.091402915685003805e+00,9.427872979911292584e-01,3.635915214346335800e-01
2.792502658379325986e+00,5.542883325378139547e-01,2.486709153554520768e-01
3.728555268721081895e+00,2.997758768171326915e-01,1.802861360800706025e-01
4.978004289568439766e+00,1.426654715355455960e-01,1.121738909724790956e-01
6.639785186000483286e+00,6.340512463346752170e-02,6.194542239223985863e-02
8.860057985178983131e+00,1.743511729806428504e-02,2.382169819042077863e-02
1.182779759593333502e+01,-3.145392635267163419e-03,6.118754369598847741e-03
1.577505081772501505e+01,-4.052736213272800821e-03,2.242369317010893363e-03
2.102404713138043491e+01,-1.736085820536015277e-03,3.548394914307633364e-03
