r,xi,xi_std
1.170778975434210306e-01,5.517222071550561395e+02,5.661589917296794994e+01
1.560746122926790214e-01,3.649597509772794410e+02,4.628707995649762807e+01
2.080815407251731808e-01,2.361620585056345476e+02,3.473931751914567201e+01
2.770571267779000091e-01,1.481874884374654471e+02,2.615353276419403983e+01
3.692672128157786227e-01,9.078478229433332558e+01,1.896040002241235811e+01
4.917026565642153013e-01,5.333100469917134490e+01,1.310887213971916410e+01
6.539667609895793987e-01,2.928411926680034227e+01,9.197392042772779774e+00
8.706922954413529592e-01,1.495733727600293683e+01,6.429258029586362611e+00
1.161851221719491623e+00,6.817410614977097438e+00,3.836433285462330645e+00
1.550312023023298069e+00,2.638834994952140800e+00,1.924802679508768710e+00
2.086583876684350081e+00,9.002485068142925817e-01,9.397060726101920114e-01
2.792932981330742415e+00,2.136445978304713500e-01,3.119552204373666204e-01
3.739989948670125131e+00,2.298549262562947851e-02,6.039597239855085814e-02
4.991588680031710190e+00,9.859351526087767673e-03,2.177246953117093972e-02
6.648803816905942021e+00,5.110410884798266898e-03,1.351975825560115113e-02
8.862325357937288928e+00,-1.433905317490169430e-03,2.280689227022514743e-03
1.182332665569435015e+01,-5.025437467492289024e-04,6.768600821103064498e-03
1.577886492755435022e+01,3.405234360877273849e-03,5.568645106802773762e-03
2.102957313501445924e+01,-1.643792730896320774e-04,3.137438868468261054e-03
