r,xi,xi_std
1.171055965959252460e-01,5.565708212993067718e+02,5.606182455401085463e+01
1.559552275531215504e-01,3.622796320966587587e+02,4.330813236641650121e+01
2.079227961256609747e-01,2.319053025812626458e+02,3.111099070873649808e+01
2.771727060392648045e-01,1.439128891346342130e+02,2.147185515742318174e+01
3.689650651252741054e-01,8.594262856561249464e+01,1.457418108810936097e+01
4.914606002670067197e-01,4.894079242915885430e+01,9.935618915698436027e+00
6.538044291884671511e-01,2.615592460344382886e+01,6.521292660206920111e+00
8.704689554662269346e-01,1.261456750747212752e+01,3.789584813008451292e+00
1.160534578534556216e+00,5.423501828712529615e+00,2.020411103602835823e+00
1.552596766432866593e+00,1.982931370084791922e+00,9.208840195036518406e-01
2.087807507837949217e+00,5.497070180729466404e-01,3.081405882871252055e-01
2.800130328427379300e+00,1.137347793193443091e-01,8.927752969956842533e-02
3.743173137418858154e+00,1.814931986784610457e-02,3.140029656075343789e-02
4.991318926434860970e+00,-5.116854354566724612e-03,1.277409063419051791e-02
6.652266066476911099e+00,-4.459219822631787719e-03,1.097877752724261968e-02
8.866379882591036932e+00,7.658021473913589894e-04,5.219820381245998328e-03
1.182220558652436004e+01,-1.570365852283417451e-03,1.004895395333369953e-02
1.577275864904952130e+01,-4.116319050459615989e-04,5.705171132424885494e-03
2.103263449783956673e+01,-4.578935967796349477e-04,3.913667572702532113e-03
