r,xi,xi_std
1.168998903441116760e-01,4.645767458844886733e+01,7.013209796558150799e-01
1.560660228970660590e-01,2.966766702616730811e+01,1.974963075674427415e-01
2.083296918454858038e-01,1.864789617932581223e+01,1.106221500915438583e-01
2.778595601330687836e-01,1.222586391143832429e+01,6.723633243834559181e-02
3.709827301573296876e-01,8.057655907241045412e+00,2.376015017039989630e-03
4.950070113058282484e-01,5.551970482025940790e+00,7.432778885355872944e-03
6.604362987663402462e-01,3.850911585471471721e+00,4.408374273379189745e-02
8.814077214617529465e-01,2.705092649305774977e+00,5.572433465488435544e-02
1.175987147243280351e+00,1.916350625093070192e+00,6.818639013493310586e-02
1.569228897759169516e+00,1.343735868989686999e+00,6.602493746650850426e-02
2.093596638626700202e+00,9.294512542505778407e-01,6.720749704870188079e-02
2.794220725819249740e+00,6.261065583915653709e-01,5.183015532973145323e-02
3.727844894253766306e+00,4.014006267569358855e-01,3.801016369171250631e-02
4.974150630826274622e+00,2.367914597555371703e-01,2.774891306629623244e-02
6.637381510997771628e+00,1.204590463444302761e-01,2.448894778710719589e-02
8.858359890081631605e+00,5.037050274185239651e-02,2.165073027353248136e-02
1.182287807581786865e+01,9.780593531250714179e-03,7.828723142518922984e-03
1.577053402277050687e+01,-6.785557538173392356e-03,8.265726075308676979e-03
2.102162336547316457e+01,-9.004504676478064518e-03,4.006548294471556915e-03
