iz,n_ivols,n_gal,r,r_min,r_max,dd
271,2,142658,4.124671506147592,3.7911903557864473,4.430502069233829,26400
271,2,142658,4.816365227319672,4.430502069233829,5.177621470661636,39814
271,2,142658,5.633085588960936,5.177621470661636,6.050728263871968,59494
271,2,142658,6.585543807237618,6.050728263871968,7.071067811865475,90626
271,2,142658,7.693509061661141,7.071067811865475,8.263468101607344,138274
271,2,142658,8.994761490639132,8.263468101607344,9.656943885009541,212042
271,2,142658,10.509281670151784,9.656943885009541,11.285402696730158,326548
271,2,142658,12.28138466757401,11.285402696730158,13.188469928365798,508754
271,2,142658,14.355483558683318,13.188469928365798,15.412453035619656,790422
271,2,142658,16.776626329643186,15.412453035619656,18.011468340559496,1236658
271,2,142658,19.606174974825457,18.011468340559496,21.04875784751639,1946002
271,2,142658,22.91175196650874,21.04875784751639,24.598228114789016,3069802
271,2,142658,26.776155446378443,24.598228114789016,28.746248627616342,4857974
271,2,142658,31.29368034716706,28.746248627616342,33.59375343234238,7686102
271,2,142658,36.57080037996253,33.59375343234238,39.25869717097048,12206852
271,2,142658,42.73797974887198,39.25869717097048,45.87892527895176,19401764
271,2,142658,49.94672241514086,45.87892527895176,53.61552818691274,30893482
271,2,142658,58.369075885156846,53.61552818691274,62.65676114432542,49247416
271,2,142658,68.21216004543308,62.65676114432542,73.22262504643817,78550978
271,2,142658,79.71432428345607,73.22262504643817,85.57021973001949,125327864
271,2,142658,93.15842296253949,85.57021973001949,100.0,199766094
271,4,285889,0.5433589907679278,0.5,0.584315433076528,1054
271,4,285889,0.6365494346599266,0.584315433076528,0.682849050662821,1482
271,4,285889,0.7390694167125391,0.682849050662821,0.7979984775278846,2052
271,4,285889,0.8670749578998764,0.7979984775278846,0.9325656519822317,2978
271,4,285889,1.013112493749219,0.9325656519822317,1.089825005620585,4120
271,4,285889,1.1836548035282384,1.089825005620585,1.2736031402736432,5976
271,4,285889,1.3843669747565428,1.2736031402736432,1.4883719409532399,8244
271,4,285889,1.6161305902609382,1.4883719409532399,1.73935739051409,11618
271,4,285889,1.8900072829512002,1.73935739051409,2.0326667338262,16712
271,4,285889,2.209604917660192,2.0326667338262,2.3754370857518157,23556
271,4,285889,2.583691042081929,2.3754370857518157,2.7760090990142356,34256
