iz,z,n_ivols,log_Mhalo,phi,bin_idx
iz207,0.495942,1,9.1,0.0,0
iz207,0.495942,1,9.3,0.3756439462774873,1
iz207,0.495942,1,9.499999999999998,0.2764960487225501,2
iz207,0.495942,1,9.699999999999998,1.4224799624902285,3
iz207,0.495942,1,9.899999999999997,0.7268703934811729,4
iz207,0.495942,1,10.099999999999996,0.7278663704170779,5
iz207,0.495942,1,10.299999999999995,0.467370209245519,6
iz207,0.495942,1,10.499999999999996,0.2717731903490648,7
iz207,0.495942,1,10.699999999999994,0.2109543406823453,8
iz207,0.495942,1,10.899999999999991,0.110906851056268,9
iz207,0.495942,1,11.099999999999993,0.0807062600965658,10
iz207,0.495942,1,11.299999999999992,0.0447868338274732,11
iz207,0.495942,1,11.499999999999991,0.0297829232123871,12
iz207,0.495942,1,11.69999999999999,0.0198874104298464,13
iz207,0.495942,1,11.89999999999999,0.0108272331419357,14
iz207,0.495942,1,12.099999999999987,0.0080642003520055,15
iz207,0.495942,1,12.299999999999988,0.0047228583734853,16
iz207,0.495942,1,12.499999999999988,0.0028594176546952,17
iz207,0.495942,1,12.699999999999989,0.0018634407187901,18
iz207,0.495942,1,12.899999999999986,0.00115661837718,19
iz207,0.495942,1,13.099999999999984,0.000481924323825,20
iz207,0.495942,1,13.299999999999985,0.000353411170805,21
iz207,0.495942,1,13.499999999999984,0.00025702630604,22
iz207,0.495942,1,13.699999999999983,9.638486476500702e-05,23
iz207,0.495942,1,13.899999999999984,3.2128288255002334e-05,24
iz207,0.495942,1,14.099999999999982,0.0,25
iz207,0.495942,1,14.29999999999998,3.2128288255002334e-05,26
iz207,0.495942,1,14.49999999999998,0.0,27
iz207,0.495942,1,14.69999999999998,0.0,28
iz207,0.495942,2,9.1,0.0,0
iz207,0.495942,2,9.3,0.3765756666368824,1
iz207,0.495942,2,9.499999999999998,0.2799819679982178,2
iz207,0.495942,2,9.699999999999998,1.4192671336647282,3
iz207,0.495942,2,9.899999999999997,0.722549138710875,4
iz207,0.495942,2,10.099999999999996,0.7289426680736205,5
iz207,0.495942,2,10.299999999999995,0.4684946993344441,6
iz207,0.495942,2,10.499999999999996,0.2770261654787576,7
iz207,0.495942,2,10.699999999999994,0.2096531450080177,8
iz207,0.495942,2,10.899999999999991,0.110649824750228,9
iz207,0.495942,2,11.099999999999993,0.0803367847816333,10
iz207,0.495942,2,11.299999999999992,0.0467305952669009,11
iz207,0.495942,2,11.499999999999991,0.0300720778066821,12
iz207,0.495942,2,11.69999999999999,0.0194858068266589,13
iz207,0.495942,2,11.89999999999999,0.0110842594479758,14
iz207,0.495942,2,12.099999999999987,0.0077107891812005,15
iz207,0.495942,2,12.299999999999988,0.0048192432382503,16
iz207,0.495942,2,12.499999999999988,0.0026666479251651,17
iz207,0.495942,2,12.699999999999989,0.0018795048629176,18
iz207,0.495942,2,12.899999999999986,0.0011726825213075,19
iz207,0.495942,2,13.099999999999984,0.0005943733327175,20
iz207,0.495942,2,13.299999999999985,0.000353411170805,21
iz207,0.495942,2,13.499999999999984,0.0002088338736575,22
iz207,0.495942,2,13.699999999999983,8.032072063750584e-05,23
iz207,0.495942,2,13.899999999999984,3.2128288255002334e-05,24
iz207,0.495942,2,14.099999999999982,3.2128288255002334e-05,25
iz207,0.495942,2,14.29999999999998,1.6064144127501167e-05,26
iz207,0.495942,2,14.49999999999998,0.0,27
iz207,0.495942,2,14.69999999999998,0.0,28
iz207,0.495942,4,9.1,0.0,0
iz207,0.495942,4,9.3,0.3813145891544952,1
iz207,0.495942,4,9.499999999999998,0.2839658757418381,2
iz207,0.495942,4,9.699999999999998,1.438728844275196,3
iz207,0.495942,4,9.899999999999997,0.7358020576160635,4
iz207,0.495942,4,10.099999999999996,0.7442517974271291,5
iz207,0.495942,4,10.299999999999995,0.4791050665306586,6
iz207,0.495942,4,10.499999999999996,0.2812028429519079,7
iz207,0.495942,4,10.699999999999994,0.2152434671643881,8
iz207,0.495942,4,10.899999999999991,0.1132602481709469,9
iz207,0.495942,4,11.099999999999993,0.0810114788349884,10
iz207,0.495942,4,11.299999999999992,0.048112111661866,11
iz207,0.495942,4,11.499999999999991,0.0314054017692647,12
iz207,0.495942,4,11.69999999999999,0.0198472500695276,13
iz207,0.495942,4,11.89999999999999,0.0118794345822871,14
iz207,0.495942,4,12.099999999999987,0.0079999437754955,15
iz207,0.495942,4,12.299999999999988,0.0048112111661866,16
iz207,0.495942,4,12.499999999999988,0.0028433535105677,17
iz207,0.495942,4,12.699999999999989,0.0018875369349813,18
iz207,0.495942,4,12.899999999999986,0.0012048108095625,19
iz207,0.495942,4,13.099999999999984,0.0005702771165262,20
iz207,0.495942,4,13.299999999999985,0.0003935715311237,21
iz207,0.495942,4,13.499999999999984,0.00019276972953,22
iz207,0.495942,4,13.699999999999983,9.638486476500702e-05,23
iz207,0.495942,4,13.899999999999984,6.425657651000467e-05,24
iz207,0.495942,4,14.099999999999982,2.4096216191251757e-05,25
iz207,0.495942,4,14.29999999999998,8.032072063750584e-06,26
iz207,0.495942,4,14.49999999999998,8.032072063750584e-06,27
iz207,0.495942,4,14.69999999999998,0.0,28
iz207,0.495942,8,9.1,0.0,0
iz207,0.495942,8,9.3,0.3816639842892684,1
iz207,0.495942,8,9.499999999999998,0.286126503126987,2
iz207,0.495942,8,9.699999999999998,1.4427087359827844,3
iz207,0.495942,8,9.899999999999997,0.7382638877036031,4
iz207,0.495942,8,10.099999999999996,0.7496453338179376,5
iz207,0.495942,8,10.299999999999995,0.4855066279654678,6
iz207,0.495942,8,10.499999999999996,0.2809819609701548,7
iz207,0.495942,8,10.699999999999994,0.216954298513967,8
iz207,0.495942,8,10.899999999999991,0.113517274476987,9
iz207,0.495942,8,11.099999999999993,0.0816058521677059,10
iz207,0.495942,8,11.299999999999992,0.0486422284180735,11
iz207,0.495942,8,11.499999999999991,0.0312086160037028,12
iz207,0.495942,8,11.69999999999999,0.020188613132237,13
iz207,0.495942,8,11.89999999999999,0.0119115628705421,14
iz207,0.495942,8,12.099999999999987,0.0078674145864436,15
iz207,0.495942,8,12.299999999999988,0.0049116120669834,16
iz207,0.495942,8,12.499999999999988,0.0030722675643845,17
iz207,0.495942,8,12.699999999999989,0.0019156491872045,18
iz207,0.495942,8,12.899999999999986,0.0012369390978175,19
iz207,0.495942,8,13.099999999999984,0.0006184695489087,20
iz207,0.495942,8,13.299999999999985,0.0003694753149325,21
iz207,0.495942,8,13.499999999999984,0.0002128499096893,22
iz207,0.495942,8,13.699999999999983,0.0001124490088925,23
iz207,0.495942,8,13.899999999999984,6.024054047812938e-05,24
iz207,0.495942,8,14.099999999999982,2.008018015937646e-05,25
iz207,0.495942,8,14.29999999999998,1.2048108095625875e-05,26
iz207,0.495942,8,14.49999999999998,1.2048108095625875e-05,27
iz207,0.495942,8,14.69999999999998,0.0,28
iz207,0.495942,20,9.1,0.0,0
iz207,0.495942,20,9.3,0.3762254682949029,1
iz207,0.495942,20,9.499999999999998,0.2820413912753635,2
iz207,0.495942,20,9.699999999999998,1.419994839393704,3
iz207,0.495942,20,9.899999999999997,0.7220559694861608,4
iz207,0.495942,20,10.099999999999996,0.7294952746316066,5
iz207,0.495942,20,10.299999999999995,0.4725589277987019,6
iz207,0.495942,20,10.499999999999996,0.2719097355741485,7
iz207,0.495942,20,10.699999999999994,0.2115904807897944,8
iz207,0.495942,20,10.899999999999991,0.1107253262276273,9
iz207,0.495942,20,11.099999999999993,0.0793600848186812,10
iz207,0.495942,20,11.299999999999992,0.0477924351937287,11
iz207,0.495942,20,11.499999999999991,0.0297781039691489,12
iz207,0.495942,20,11.69999999999999,0.0199532734207692,13
iz207,0.495942,20,11.89999999999999,0.0117027289968846,14
iz207,0.495942,20,12.099999999999987,0.0076642031632308,15
iz207,0.495942,20,12.299999999999988,0.00480157267971,16
iz207,0.495942,20,12.499999999999988,0.0029413447897454,17
iz207,0.495942,20,12.699999999999989,0.0019180588088236,18
iz207,0.495942,20,12.899999999999986,0.001105213115972,19
iz207,0.495942,20,13.099999999999984,0.0006425657651,20
iz207,0.495942,20,13.299999999999985,0.0003694753149325,21
iz207,0.495942,20,13.499999999999984,0.0001943761439427,22
iz207,0.495942,20,13.699999999999983,8.51399638757562e-05,23
iz207,0.495942,20,13.899999999999984,5.301167562075386e-05,24
iz207,0.495942,20,14.099999999999982,2.088338736575152e-05,25
iz207,0.495942,20,14.29999999999998,6.425657651000468e-06,26
iz207,0.495942,20,14.49999999999998,6.425657651000468e-06,27
iz207,0.495942,20,14.69999999999998,0.0,28
iz207,0.495942,50,9.1,0.0,0
iz207,0.495942,50,9.3,0.375211499517575,1
iz207,0.495942,50,9.499999999999998,0.28047738620311,2
iz207,0.495942,50,9.699999999999998,1.418828261247165,3
iz207,0.495942,50,9.899999999999997,0.7189803284515095,4
iz207,0.495942,50,10.099999999999996,0.727500107930971,5
iz207,0.495942,50,10.299999999999995,0.4717364436193738,6
iz207,0.495942,50,10.499999999999996,0.2716941547599575,7
iz207,0.495942,50,10.699999999999994,0.2110802835723049,8
iz207,0.495942,50,10.899999999999991,0.1100079015508931,9
iz207,0.495942,50,11.099999999999993,0.078876875363326,10
iz207,0.495942,50,11.299999999999992,0.0476404683902825,11
iz207,0.495942,50,11.499999999999991,0.0297405138718905,12
iz207,0.495942,50,11.69999999999999,0.0198726314172491,13
iz207,0.495942,50,11.89999999999999,0.0118122864598341,14
iz207,0.495942,50,12.099999999999987,0.0078078166117306,15
iz207,0.495942,50,12.299999999999988,0.0047485610040893,16
iz207,0.495942,50,12.499999999999988,0.0029435937699233,17
iz207,0.495942,50,12.699999999999989,0.0018608704557297,18
iz207,0.495942,50,12.899999999999986,0.0011302731808109,19
iz207,0.495942,50,13.099999999999984,0.0006425657651,20
iz207,0.495942,50,13.299999999999985,0.0003836117617647,21
iz207,0.495942,50,13.499999999999984,0.0001979102556508,22
iz207,0.495942,50,13.699999999999983,9.445716746970688e-05,23
iz207,0.495942,50,13.899999999999984,5.0762695442903696e-05,24
iz207,0.495942,50,14.099999999999982,1.799184142280131e-05,25
iz207,0.495942,50,14.29999999999998,5.783091885900421e-06,26
iz207,0.495942,50,14.49999999999998,3.855394590600281e-06,27
iz207,0.495942,50,14.69999999999998,0.0,28
iz207,0.495942,100,9.1,0.0,0
iz207,0.495942,100,9.3,0.3749541519286524,1
iz207,0.495942,100,9.499999999999998,0.2798672700091475,2
iz207,0.495942,100,9.699999999999998,1.4175428084340824,3
iz207,0.495942,100,9.899999999999997,0.7179927048705507,4
iz207,0.495942,100,10.099999999999996,0.7262143338350058,5
iz207,0.495942,100,10.299999999999995,0.4713017478792836,6
iz207,0.495942,100,10.499999999999996,0.2714400199998604,7
iz207,0.495942,100,10.699999999999994,0.2105659096773423,8
iz207,0.495942,100,10.899999999999991,0.109833766228551,9
iz207,0.495942,100,11.099999999999993,0.0788347873057119,10
iz207,0.495942,100,11.299999999999992,0.0477856882531951,11
iz207,0.495942,100,11.499999999999991,0.0297761762718536,12
iz207,0.495942,100,11.69999999999999,0.0197592185597089,13
iz207,0.495942,100,11.89999999999999,0.0118257803409012,14
iz207,0.495942,100,12.099999999999987,0.0077519133901669,15
iz207,0.495942,100,12.299999999999988,0.0046862321248746,16
iz207,0.495942,100,12.499999999999988,0.0029378106780374,17
iz207,0.495942,100,12.699999999999989,0.0018380593710686,18
iz207,0.495942,100,12.899999999999986,0.0011097110763277,19
iz207,0.495942,100,13.099999999999984,0.000639674219157,20
iz207,0.495942,100,13.299999999999985,0.0003813627815868,21
iz207,0.495942,100,13.499999999999984,0.0002033720646541,22
iz207,0.495942,100,13.699999999999983,9.670614764755704e-05,23
iz207,0.495942,100,13.899999999999984,5.108397832545372e-05,24
iz207,0.495942,100,14.099999999999982,2.0562104483201497e-05,25
iz207,0.495942,100,14.29999999999998,6.746940533550491e-06,26
iz207,0.495942,100,14.49999999999998,3.2128288255002338e-06,27
iz207,0.495942,100,14.69999999999998,3.212828825500234e-07,28
iz207,0.495942,300,9.1,0.0,0
iz207,0.495942,300,9.3,0.3755376016433633,1
iz207,0.495942,300,9.499999999999998,0.280801560631603,2
iz207,0.495942,300,9.699999999999998,1.4240601388009038,3
iz207,0.495942,300,9.899999999999997,0.721887831444293,4
iz207,0.495942,300,10.099999999999996,0.730934193568254,5
iz207,0.495942,300,10.299999999999995,0.4742318477681398,6
iz207,0.495942,300,10.499999999999996,0.273219070414834,7
iz207,0.495942,300,10.699999999999994,0.2120014015965758,8
