IMF,Threshold,NumberFrac,MassFrac
Salpeter,8.0,0.0019438287822558778,0.13243489410416293
Salpeter,20.0,0.0005277672058363268,0.07311514056091896
Salpeter,R_return,,-1.1175395654986717
Kroupa,8.0,0.006323486721931812,0.2168300849845636
Kroupa,20.0,0.001787771727460644,0.12315467980963439
Kroupa,R_return,,-0.05216586888777597
Chabrier,8.0,0.010078679508187837,0.2525464948318664
Chabrier,20.0,0.002849437196156646,0.14344080854959868
Chabrier,R_return,,0.22385511224331622
