iz,z,n_ivols,r,xi,bin_idx
iz82,6.01075,1,0.12203755605883349,130731.50688466808,0
iz82,6.01075,1,0.16696944718533768,102742.42029217946,1
iz82,6.01075,1,0.22976548622848256,62977.233341474115,2
iz82,6.01075,1,0.31895883420339727,39661.91334835645,3
iz82,6.01075,1,0.4460504378665655,21719.756504638422,4
iz82,6.01075,1,0.6143676330376435,13311.270800388182,5
iz82,6.01075,1,0.8524758571581494,8135.337173489641,6
iz82,6.01075,1,1.1839578374629338,5223.1206836701485,7
iz82,6.01075,1,1.6435402535265466,3250.058310457875,8
iz82,6.01075,1,2.2782495658017377,2067.8450459954443,9
iz82,6.01075,1,3.1582293368518837,1284.5207144849633,10
iz82,6.01075,1,4.365148880069043,747.4324226482423,11
iz82,6.01075,1,6.012518690693519,345.22097199346445,12
iz82,6.01075,1,8.283667670973824,127.62601358428736,13
iz82,6.01075,1,11.488346405235797,40.554468493082574,14
iz82,6.01075,1,15.488379088076877,8.960094792028002,15
iz82,6.01075,1,22.102379838130222,0.3749501368111434,16
iz82,6.01075,1,31.146267382591805,-0.1010510465888711,17
iz82,6.01075,1,44.28703946449668,0.009844826949948926,18
iz82,6.01075,2,0.12196610644622656,63689.12943166296,0
iz82,6.01075,2,0.1668620410395076,47692.181243538,1
iz82,6.01075,2,0.23099907319949348,30619.79518513366,2
iz82,6.01075,2,0.3191162723578203,19007.17065403472,3
iz82,6.01075,2,0.4445358151340932,10593.893926064582,4
iz82,6.01075,2,0.6146765232069684,6462.675298179775,5
iz82,6.01075,2,0.8546259499591479,3935.3286422583506,6
iz82,6.01075,2,1.1838423925044013,2531.340060980658,7
iz82,6.01075,2,1.64397991552289,1577.2318152541864,8
iz82,6.01075,2,2.276792142619113,1001.7143732678871,9
iz82,6.01075,2,3.154864540997128,613.9602404223192,10
iz82,6.01075,2,4.363698487190175,349.3246796711622,11
iz82,6.01075,2,5.997759002158259,155.2781713360953,12
iz82,6.01075,2,8.245907379937954,50.546801896185414,13
iz82,6.01075,2,11.400177571519938,12.224769591349093,14
iz82,6.01075,2,15.648049660516794,2.09429632957504,15
iz82,6.01075,2,22.475345487620718,-0.12790491654190173,16
iz82,6.01075,2,31.512900322424617,-0.14938085784946242,17
iz82,6.01075,2,43.96386712343858,0.026613542502140985,18
iz82,6.01075,4,0.12219049198433056,28197.55175578494,0
iz82,6.01075,4,0.1668137267552507,24120.89020571053,1
iz82,6.01075,4,0.2307766051322587,15368.18014092628,2
iz82,6.01075,4,0.3195181708379092,9353.136012675843,3
iz82,6.01075,4,0.44387530097735634,5333.137067195952,4
iz82,6.01075,4,0.6150937889502395,3236.5461209463942,5
iz82,6.01075,4,0.8538713271698869,1997.0121668236206,6
iz82,6.01075,4,1.1842920336090397,1303.8229232039835,7
iz82,6.01075,4,1.6441120492149566,830.8147156903545,8
iz82,6.01075,4,2.278748417144791,542.285953464364,9
iz82,6.01075,4,3.1571984488147384,345.7070915744924,10
iz82,6.01075,4,4.36814192336009,203.27757138654465,11
iz82,6.01075,4,6.02544994924402,101.18186064506041,12
iz82,6.01075,4,8.327223700397552,42.923542754325396,13
iz82,6.01075,4,11.47809974671965,14.949550112603301,14
iz82,6.01075,4,15.748431717897276,3.4287686437722797,15
iz82,6.01075,4,22.3858997220106,0.16690196022929582,16
iz82,6.01075,4,31.499216158050643,-0.10604985920627619,17
iz82,6.01075,4,43.829910215944736,-0.06862031255117895,18
iz82,6.01075,8,0.12249491751963114,13137.661778445981,0
iz82,6.01075,8,0.1667877408743566,11380.060515401206,1
iz82,6.01075,8,0.230785862056065,7367.279331899113,2
