iz,z,n_ivols,log_Mhalo,phi,bin_idx
iz207,0.495942,1,9.1,0.0,0
iz207,0.495942,1,9.299999999999999,0.0,1
iz207,0.495942,1,9.499999999999998,0.0,2
iz207,0.495942,1,9.699999999999998,0.0,3
iz207,0.495942,1,9.899999999999997,0.0,4
iz207,0.495942,1,10.099999999999996,0.7278663704170779,5
iz207,0.495942,1,10.299999999999995,0.467370209245519,6
iz207,0.495942,1,10.499999999999995,0.2717731903490648,7
iz207,0.495942,1,10.699999999999994,0.21095434068234534,8
iz207,0.495942,1,10.899999999999993,0.11090685105626806,9
iz207,0.495942,1,11.099999999999993,0.08070626009656587,10
iz207,0.495942,1,11.299999999999992,0.044786833827473255,11
iz207,0.495942,1,11.499999999999991,0.029782923212387166,12
iz207,0.495942,1,11.69999999999999,0.019887410429846448,13
iz207,0.495942,1,11.89999999999999,0.010827233141935788,14
iz207,0.495942,1,12.099999999999989,0.008064200352005587,15
iz207,0.495942,1,12.299999999999988,0.004722858373485343,16
iz207,0.495942,1,12.499999999999988,0.002859417654695208,17
iz207,0.495942,1,12.699999999999987,0.0018634407187901355,18
iz207,0.495942,1,12.899999999999986,0.0011566183771800841,19
iz207,0.495942,1,13.099999999999985,0.00048192432382503504,20
iz207,0.495942,1,13.299999999999985,0.0003534111708050257,21
iz207,0.495942,1,13.499999999999984,0.0002570263060400187,22
iz207,0.495942,1,13.699999999999983,9.638486476500702e-05,23
iz207,0.495942,1,13.899999999999983,3.2128288255002334e-05,24
iz207,0.495942,1,14.099999999999982,0.0,25
iz207,0.495942,1,14.299999999999981,3.2128288255002334e-05,26
iz207,0.495942,1,14.49999999999998,0.0,27
iz207,0.495942,1,14.69999999999998,0.0,28
iz207,0.495942,2,9.1,0.0,0
iz207,0.495942,2,9.299999999999999,0.0,1
iz207,0.495942,2,9.499999999999998,0.0,2
iz207,0.495942,2,9.699999999999998,0.0,3
iz207,0.495942,2,9.899999999999997,0.0,4
iz207,0.495942,2,10.099999999999996,0.7289426680736205,5
iz207,0.495942,2,10.299999999999995,0.4684946993344441,6
iz207,0.495942,2,10.499999999999995,0.27702616547875764,7
iz207,0.495942,2,10.699999999999994,0.20965314500801774,8
iz207,0.495942,2,10.899999999999993,0.11064982475022804,9
iz207,0.495942,2,11.099999999999993,0.08033678478163334,10
iz207,0.495942,2,11.299999999999992,0.0467305952669009,11
iz207,0.495942,2,11.499999999999991,0.030072077806682185,12
iz207,0.495942,2,11.69999999999999,0.019485806826658916,13
