iz,z,n_ivols,log_Mhalo,phi,bin_idx
iz271,0.0,1,9.1,0.0,0
iz271,0.0,1,9.299999999999999,0.17808710179747794,1
iz271,0.0,1,9.499999999999998,0.15607922434280136,2
iz271,0.0,1,9.699999999999998,0.9921536696027271,3
iz271,0.0,1,9.899999999999997,0.6839470003724898,4
iz271,0.0,1,10.099999999999996,0.6916577895536903,5
iz271,0.0,1,10.299999999999995,0.466920413209949,6
iz271,0.0,1,10.499999999999995,0.26496199323900427,7
iz271,0.0,1,10.699999999999994,0.21230372878905543,8
iz271,0.0,1,10.899999999999993,0.11158154510962312,9
iz271,0.0,1,11.099999999999993,0.08051349036703585,10
iz271,0.0,1,11.299999999999992,0.04938117904793859,11
iz271,0.0,1,11.499999999999991,0.030971669877822253,12
iz271,0.0,1,11.69999999999999,0.021525953130851566,13
iz271,0.0,1,11.89999999999999,0.011791081789585857,14
iz271,0.0,1,12.099999999999989,0.008032072063750584,15
iz271,0.0,1,12.299999999999988,0.005622450444625409,16
iz271,0.0,1,12.499999999999988,0.0033092136902652405,17
iz271,0.0,1,12.699999999999987,0.002088338736575152,18
iz271,0.0,1,12.899999999999986,0.001317259818455096,19
iz271,0.0,1,13.099999999999985,0.0008032072063750584,20
iz271,0.0,1,13.299999999999985,0.00048192432382503504,21
iz271,0.0,1,13.499999999999984,0.00022489801778501637,22
iz271,0.0,1,13.699999999999983,0.00016064144127501167,23
iz271,0.0,1,13.899999999999983,6.425657651000467e-05,24
iz271,0.0,1,14.099999999999982,9.638486476500702e-05,25
iz271,0.0,1,14.299999999999981,3.2128288255002334e-05,26
iz271,0.0,1,14.49999999999998,0.0,27
iz271,0.0,1,14.69999999999998,3.2128288255002334e-05,28
iz271,0.0,2,9.1,0.0,0
iz271,0.0,2,9.299999999999999,0.17744453603237792,1
iz271,0.0,2,9.499999999999998,0.15877800055622154,2
iz271,0.0,2,9.699999999999998,0.9889408407772269,3
iz271,0.0,2,9.899999999999997,0.6786940252427969,4
iz271,0.0,2,10.099999999999996,0.6916577895536903,5
iz271,0.0,2,10.299999999999995,0.466824028345184,6
iz271,0.0,2,10.499999999999995,0.27019890422456966,7
iz271,0.0,2,10.699999999999994,0.2103117749172453,8
iz271,0.0,2,10.899999999999993,0.11108355664167058,9
iz271,0.0,2,11.099999999999993,0.08120424856451841,10
iz271,0.0,2,11.299999999999992,0.04992735994827363,11
iz271,0.0,2,11.499999999999991,0.03140540176926478,12
iz271,0.0,2,11.69999999999999,0.02130105511306655,13
iz271,0.0,2,11.89999999999999,0.012015979807370875,14
iz271,0.0,2,12.099999999999989,0.008064200352005587,15
iz271,0.0,2,12.299999999999988,0.005429680715095395,16
iz271,0.0,2,12.499999999999988,0.0031967646813727325,17
iz271,0.0,2,12.699999999999987,0.0021365311689576557,18
iz271,0.0,2,12.899999999999986,0.0013654522508375995,19
iz271,0.0,2,13.099999999999985,0.0008513996387575619,20
iz271,0.0,2,13.299999999999985,0.0004979884679525362,21
iz271,0.0,2,13.499999999999984,0.0002570263060400187,22
iz271,0.0,2,13.699999999999983,0.00016064144127501167,23
iz271,0.0,2,13.899999999999983,0.00011244900889250817,24
iz271,0.0,2,14.099999999999982,6.425657651000467e-05,25
iz271,0.0,2,14.299999999999981,3.2128288255002334e-05,26
iz271,0.0,2,14.49999999999998,1.6064144127501167e-05,27
