logM,phi,phi_poisson_err,phi_ivol_scatter,counts
6.05,0.5186148290122478,0.004081936638389215,0.001999195483386538,16142.0
6.1499999999999995,0.5028398394790417,0.004019375985010827,0.0020446317443725067,15651.0
6.249999999999999,0.4851050243622803,0.0039478594271657235,0.003952954705786911,15099.0
6.349999999999999,0.4575389530394883,0.003834050517552509,0.0012267790466234645,14241.0
6.449999999999998,0.43109737180562135,0.0037216153250094128,0.0018174504394422716,13418.0
6.549999999999998,0.399226109856659,0.0035814035707244685,0.004089263488745091,12426.0
6.649999999999998,0.37419817330601224,0.003467325594239872,0.0004997988708466345,11647.0
6.749999999999997,0.3255880731761937,0.003234283145829311,0.0028170481811355015,10134.0
6.849999999999997,0.2896043903305911,0.003050326758308926,0.006724566625936405,9014.0
6.949999999999997,0.2546809409974035,0.002860500425698242,0.004770807403535953,7927.0
7.049999999999996,0.2267293302155515,0.0026989674464559317,0.0004997988708466345,7057.0
7.149999999999996,0.19967731150483953,0.002532842320795233,0.00031805382690240733,6215.0
7.249999999999996,0.17481001639546773,0.002369883245355195,4.543626098604698e-05,5441.0
7.349999999999995,0.15312342182334115,0.0022180156525445486,0.0012722153076095703,4766.0
7.449999999999995,0.13670586652503494,0.002095739842124064,0.0014085240905677508,4255.0
7.5499999999999945,0.11784656131934858,0.0019458181548975327,0.0006361076538047852,3668.0
7.649999999999994,0.1032603184515775,0.0018214217733725539,0.005270606274382558,3214.0
7.749999999999994,0.0867463782885063,0.0016694348285364743,0.0011813427856374765,2700.0
7.849999999999993,0.07845727991871572,0.0015876706537981688,0.002635303137191284,2442.0
7.949999999999993,0.06888305001872501,0.0014876472992229512,9.087252197211358e-05,2144.0
8.049999999999994,0.05709196822913916,0.0013543512145345526,0.0023172493102888866,1777.0
8.149999999999991,0.04787114949995348,0.0012401685733128447,0.0016357053954980346,1490.0
8.249999999999993,0.04350170229727317,0.001182216236984626,0.001999195483386489,1354.0
8.34999999999999,0.03624070915164264,0.0010790514122087397,0.0006361076538047902,1128.0
8.449999999999992,0.03212828825500234,0.00101598568208244,0.0008178526977490173,1000.0
8.54999999999999,0.028690561411717087,0.0009600930305098008,0.0011359065246514099,893.0
8.649999999999991,0.024642397091586794,0.000889785388199161,0.0014993966125398691,767.0
8.74999999999999,0.022971726102326673,0.0008590938469867612,0.0016811416564840914,715.0
8.84999999999999,0.017413532234211267,0.0007479752557127238,0.0014539603515538123,542.0
8.949999999999989,0.012947700166765943,0.0006449708855422841,0.001590269134511979,403.0
9.04999999999999,0.01288344359025594,0.0006433684709284447,0.0008632889587350741,401.0
9.149999999999988,0.008610381252340626,0.000525962746647201,0.0004543626098605642,268.0
9.24999999999999,0.0057830918859004205,0.00043104621923335996,0.0009087252197211308,180.0
9.349999999999987,0.004497960355700327,0.0003801470332220324,0.0,140.0
9.449999999999989,0.002987930807715218,0.00030983399147975434,4.543626098605679e-05,93.0
9.549999999999986,0.0030843156724802245,0.00031479165013523794,0.0,96.0
9.649999999999988,0.0018313124305351332,0.00024256325701392143,4.5436260986056636e-05,57.0
9.749999999999986,0.0014779012597301074,0.00021790465273839376,0.0,46.0
9.849999999999987,0.0009317203593950679,0.00017301612722431142,0.00022718130493028265,29.0
9.949999999999985,0.00041766774731503037,0.0001158401906962984,0.00013630878295816951,13.0
10.049999999999986,0.0,0.0,0.0,0.0
10.149999999999984,0.0,0.0,0.0,0.0
10.249999999999986,0.0,0.0,0.0,0.0
10.349999999999984,0.0,0.0,0.0,0.0
10.449999999999985,0.0,0.0,0.0,0.0
10.549999999999983,0.0,0.0,0.0,0.0
10.649999999999984,0.0,0.0,0.0,0.0
10.749999999999982,0.0,0.0,0.0,0.0
10.849999999999984,0.0,0.0,0.0,0.0
10.949999999999982,0.0,0.0,0.0,0.0
11.049999999999983,0.0,0.0,0.0,0.0
11.14999999999998,0.0,0.0,0.0,0.0
11.249999999999982,0.0,0.0,0.0,0.0
11.34999999999998,0.0,0.0,0.0,0.0
11.449999999999982,0.0,0.0,0.0,0.0
11.54999999999998,0.0,0.0,0.0,0.0
11.64999999999998,0.0,0.0,0.0,0.0
11.749999999999979,0.0,0.0,0.0,0.0
11.84999999999998,0.0,0.0,0.0,0.0
11.949999999999978,0.0,0.0,0.0,0.0
12.04999999999998,0.0,0.0,0.0,0.0
12.149999999999977,0.0,0.0,0.0,0.0
12.249999999999979,0.0,0.0,0.0,0.0
12.349999999999977,0.0,0.0,0.0,0.0
12.449999999999978,0.0,0.0,0.0,0.0
12.549999999999976,0.0,0.0,0.0,0.0
12.649999999999977,0.0,0.0,0.0,0.0
12.749999999999975,0.0,0.0,0.0,0.0
12.849999999999977,0.0,0.0,0.0,0.0
12.949999999999974,0.0,0.0,0.0,0.0
