r,xi,xi_jk_err,DD,RR
0.1166760716081662,474.9346357013966,21.262440967255046,583910,1226.870154426726
0.15559004211011235,319.6085034270543,20.903340592067792,932768,2909.367624468594
0.2074826557850289,212.63468980271693,17.52149263494242,1473908,6899.1978847681285
0.27668256829150173,141.08154624148844,16.319894119726705,2324536,16360.576454095664
0.3689621347227101,92.40387627741111,14.057069470655682,3623794,38797.04081270963
0.49201891430946565,57.53539561335016,10.822467799374772,5385390,92002.2824407418
0.6561177672614025,34.60873693833798,7.959253296089092,7768822,218171.79344083206
0.8749471046662279,19.459339272278687,5.449140069066967,10584984,517366.85428263503
1.166760716081662,10.352009786649198,3.619983123749678,13927442,1226870.1544267253
1.5559004211011234,4.745538604133338,2.076331241738061,16715884,2909367.624468592
2.074826557850289,1.6581591521658972,0.9097099166018501,18339166,6899197.884768128
2.766825682915017,0.21336568156377345,0.38064018125159216,19851362,16360576.454095658
3.6896213472271007,-0.5018092206231313,0.23538000421484212,19328328,38797040.812709644
4.920189143094657,-0.8154957513045027,0.11555475226842994,16974812,92002282.44074172
6.561177672614024,-0.9664538303298824,0.022945061482867523,7318828,218171793.44083205
8.74947104666228,-0.9955869418748022,0.0021812920281445362,2283170,517366854.2826351
11.667607160816619,-0.9978616628739935,5.664816459288576e-05,2623462,1226870154.4267254
15.559004211011235,-0.9973643241453886,0.00037975713965186905,7668150,2909367624.468593
20.748265578502888,-0.998035841814319,0.00010388553044444355,13551116,6899197884.768131
27.668256829150174,-0.9981496312134881,7.253688689884167e-05,30273100,16360576454.09567
36.896213472271015,-0.9981906941217794,6.606863549358894e-05,70195714,38797040812.70964
49.20189143094657,-0.9982431713897522,5.412363250698275e-05,161632242,92002282440.74176
65.61177672614025,-0.9983812845903209,3.7787433303517886e-05,353158044,218171793440.832
87.49471046662279,-0.9985037791895784,2.3834070343019562e-05,774095054,517366854282.6351
