r,xi,xi_std
1.169971998480889286e-01,4.586838665438178708e+01,9.987672245541183713e-01
1.560673254737746929e-01,2.895716801034141241e+01,5.924582330249875683e-01
2.082753281354722819e-01,1.834874233402170063e+01,2.817135219122995915e-01
2.779749902675595630e-01,1.192558569176065220e+01,1.722472332973113696e-01
3.709646977415344549e-01,7.947626740464736272e+00,1.285666496321842545e-01
4.952493585487097727e-01,5.471071692327095448e+00,6.574634609435223154e-02
6.605953000286121091e-01,3.848494085552888855e+00,6.391232423639529869e-02
8.819155703972402227e-01,2.753520292500645450e+00,4.821271519131022781e-02
1.176426711620395471e+00,1.981587399569305630e+00,4.769448506776389346e-02
1.569631704353012580e+00,1.435998273024406746e+00,4.636675440434637890e-02
2.094061354201063985e+00,1.029006664753135958e+00,4.705127338853288405e-02
2.793715788902754404e+00,7.148495959128686739e-01,5.238833412317558252e-02
3.726034908986029848e+00,4.706907497642137672e-01,6.156134074970443654e-02
4.972486882178065670e+00,2.833997578023436104e-01,6.622150094560624867e-02
6.635566271657348913e+00,1.512286534010276462e-01,6.223583777657038657e-02
8.856719002219028525e+00,6.610971562442991001e-02,4.860109851261930347e-02
1.182348911774697342e+01,2.223550582788467317e-02,3.230078140892232025e-02
1.577282749168700171e+01,6.164842047302787793e-03,1.331588273590577839e-02
2.103036208108954597e+01,-4.727324690176937065e-03,3.840344157796753838e-03
