r,xi,xi_std
1.172462251752139639e-01,5.453653364492186029e+02,9.458218476364471883e+01
1.562778830264889840e-01,3.594729484204623873e+02,7.451082421171567205e+01
2.083150020833820781e-01,2.324888804695654869e+02,5.649624062014800074e+01
2.776208280682929130e-01,1.473622793535088817e+02,4.090526295640333387e+01
3.697614820601370367e-01,9.065964566502341881e+01,2.835179195308004196e+01
4.935384541771630773e-01,5.378544971999493640e+01,1.953938898438456917e+01
6.575702829064449251e-01,3.018204863812114169e+01,1.351128085077352381e+01
8.741901977876384011e-01,1.549572555916141070e+01,8.544076175251968053e+00
1.166143632043991962e+00,7.142301970418827750e+00,4.854180495165656417e+00
1.552818865564788542e+00,2.850083618068675939e+00,2.320209131199476360e+00
2.070617680500785429e+00,9.331025866797352242e-01,9.081230072477347592e-01
2.754766598053625781e+00,2.037714388615974315e-01,2.453500595558913144e-01
3.713108253899741307e+00,1.545760032936707197e-02,3.862277851847190080e-02
4.977690926463471222e+00,-8.221877457352960022e-03,1.580834665646846035e-02
6.658028238408142840e+00,-1.518864114192808399e-03,2.004640260197710494e-02
8.879188766460272220e+00,9.243088396686338290e-03,2.938864878001164194e-02
1.180118489885407307e+01,3.075094675546846765e-03,1.898835641697311366e-02
1.576729016974653419e+01,-4.082180598531848573e-03,6.343890037840309477e-03
2.102050240319891472e+01,-1.296630460644637673e-03,2.551201290785061731e-03
