r,xi,xi_std
1.171686823876411931e-01,5.664130040468053267e+02,3.932130438645185677e+01
1.560295849815669933e-01,3.731224127957757446e+02,2.301260759200053485e+01
2.081280269555073059e-01,2.393455275105729356e+02,1.587407288148996543e+01
2.772570381795761429e-01,1.507065706686566386e+02,1.132016527173196607e+01
3.697075462318690775e-01,9.111178563069157121e+01,5.810077934578821157e+00
4.919303815382381484e-01,5.265713997782960121e+01,2.944305833303459963e+00
6.548594965199983076e-01,2.823144597486419372e+01,1.661134893469982998e+00
8.714827636774297170e-01,1.431508503403573229e+01,1.701106620504435618e+00
1.158842118621359329e+00,6.613117460862312669e+00,1.659017706731635400e+00
1.554516289796834760e+00,2.609021575112209668e+00,8.703974228706696792e-01
2.074327615015253201e+00,8.832333333110170548e-01,3.137237118039820638e-01
2.794678777516030888e+00,2.244661866067376721e-01,1.013424728853944412e-01
3.732734507142087654e+00,3.025905416052354635e-02,4.374580309797149180e-02
4.987469918929199331e+00,-1.852563581159766271e-02,4.565677594426331698e-03
6.648962319997720805e+00,1.552242617523680313e-03,8.393585674613512904e-03
8.864249996649055774e+00,1.288323473172203748e-03,2.244752680210293505e-03
1.182300260123003177e+01,-1.466530203085292250e-03,5.709831372013862705e-04
1.577957239574239878e+01,7.860893596717599685e-03,6.085884356247239779e-04
2.103049616586699599e+01,-3.748137017351715894e-03,9.149942531991306360e-04
