iz,z,r,xi
iz155,,18.25,0.9985065791641914
iz155,,18.75,0.9984756197019298
iz155,,19.25,0.9985405419673471
iz155,,19.75,0.9984989545575885
iz176,,0.75,3.1655186881577566
iz176,,1.25,1.8255716261455142
iz176,,1.75,1.46840898361098
iz176,,2.25,1.3051914131489266
iz176,,2.75,1.2076106856704136
iz176,,3.25,1.153196279279187
iz176,,3.75,1.1144957999584912
iz176,,4.25,1.0875718713987268
iz176,,4.75,1.063580764335165
iz176,,5.25,1.0478555022447509
iz176,,5.75,1.0361769392352527
iz176,,6.25,1.0281545757092718
iz176,,6.75,1.0210044171611186
iz176,,7.25,1.015538012197866
iz176,,7.75,1.0116885550766215
iz176,,8.25,1.0081740116715685
iz176,,8.75,1.0058623863019804
iz176,,9.25,1.004232763452277
iz176,,9.75,1.0028565278512853
iz176,,10.25,1.001991718309241
iz176,,10.75,1.0013471927752784
iz176,,11.25,1.0008565610962583
iz176,,11.75,1.0006096273044593
iz176,,12.25,1.0003517640414068
iz176,,12.75,1.0002722294482864
iz176,,13.25,1.0001588215341115
iz176,,13.75,1.0001467109098874
iz176,,14.25,1.0002054766765143
iz176,,14.75,1.0002717228946765
iz176,,15.25,1.000207307769005
iz176,,15.75,1.000227477402701
iz176,,16.25,1.000334609240426
iz176,,16.75,1.0004354236440385
iz176,,17.25,1.0002762937981853
iz176,,17.75,1.0001063249186477
iz176,,18.25,1.0000264079225458
iz176,,18.75,1.0000267095324078
iz176,,19.25,0.999949178003452
iz176,,19.75,0.9999290934724346
iz207,,0.75,5.268102513898115
iz207,,1.25,2.581397753564181
iz207,,1.75,1.7054427733189452
iz207,,2.25,1.3649287331160915
iz207,,2.75,1.214312431274063
iz207,,3.25,1.136731373371673
iz207,,3.75,1.0867582046324515
iz207,,4.25,1.056798279400255
iz207,,4.75,1.037339478298838
iz207,,5.25,1.024573455665651
iz207,,5.75,1.0141278636466737
iz207,,6.25,1.0070504583070539
iz207,,6.75,1.0035879562601018
iz207,,7.25,1.0016378268404094
iz207,,7.75,1.0007401625721577
iz207,,8.25,1.000189406386355
iz207,,8.75,0.9999533700311188
iz207,,9.25,0.9997778777799794
iz207,,9.75,0.999744249497098
iz207,,10.25,0.9996219128302427
iz207,,10.75,0.9997668320196633
iz207,,11.25,0.999709962598945
iz207,,11.75,0.9997946861600752
iz207,,12.25,0.9997126434591325
iz207,,12.75,0.9997408275489047
iz207,,13.25,0.9997938520066251
iz207,,13.75,0.9998901655051655
iz207,,14.25,0.9999917146501406
iz207,,14.75,1.0001283572642923
iz207,,15.25,0.9999407886542895
iz207,,15.75,0.9999486425020128
iz207,,16.25,0.9997750661650382
iz207,,16.75,0.9996061584229229
iz207,,17.25,0.9996462481138841
iz207,,17.75,0.9996529642345993
iz207,,18.25,0.9995655368582769
iz207,,18.75,0.9993672287494066
iz207,,19.25,0.9993830446000447
iz207,,19.75,0.9993739449199237
