iz,z,logMh_center,residual_log10
iz105,,11.499999999999995,-1.4162134028596454
iz105,,11.699999999999994,-1.835928755940592
iz105,,11.899999999999993,-2.25304290775507
iz105,,12.099999999999993,-2.0650642902246434
iz105,,12.299999999999992,-37.55652855982084
iz105,,12.499999999999991,-37.36089135654544
iz105,,12.69999999999999,-37.16044752403673
iz105,,12.89999999999999,-36.95439957328379
iz105,,13.099999999999989,-36.74181770036398
iz105,,13.299999999999988,-36.521617833493636
iz105,,13.499999999999988,-36.29253603776826
iz105,,13.699999999999987,-36.053098673280545
iz105,,13.899999999999986,-35.80158760204041
iz105,,14.099999999999985,-35.53599962222201
iz105,,14.299999999999985,-35.25399917196811
iz105,,14.499999999999984,-34.95286318607454
iz105,,14.699999999999983,-34.62941680360438
iz105,,14.899999999999983,-34.27995840846953
iz120,,10.1,0.10665124928086431
iz120,,10.299999999999999,-0.03861976696476043
iz120,,10.499999999999998,-0.07876645018667652
iz120,,10.699999999999998,-0.18268060999507008
iz120,,10.899999999999997,-0.3607177804529861
iz120,,11.099999999999996,-0.4127992104567985
iz120,,11.299999999999995,-0.5936211080730774
iz120,,11.499999999999995,-0.7065195331318536
iz120,,11.699999999999994,-0.8469241402420551
iz120,,11.899999999999993,-1.25304290775507
iz120,,12.099999999999993,-1.0650642902246434
iz120,,12.299999999999992,-1.5725197174647008
iz120,,12.499999999999991,-1.6779125098532737
iz120,,12.69999999999999,-37.16044752403673
iz120,,12.89999999999999,-36.95439957328379
iz120,,13.099999999999989,-36.74181770036398
iz120,,13.299999999999988,-36.521617833493636
iz120,,13.499999999999988,-36.29253603776826
iz120,,13.699999999999987,-36.053098673280545
iz120,,13.899999999999986,-35.80158760204041
iz120,,14.099999999999985,-35.53599962222201
iz120,,14.299999999999985,-35.25399917196811
iz120,,14.499999999999984,-34.95286318607454
iz120,,14.699999999999983,-34.62941680360438
iz120,,14.899999999999983,-34.27995840846953
iz142,,10.1,0.30295754840957523
iz142,,10.299999999999999,0.20230754239555288
iz142,,10.499999999999998,0.15858302521484685
iz142,,10.699999999999998,0.10612376077332614
iz142,,10.899999999999997,-0.014697784073976086
iz142,,11.099999999999996,-0.06909099988914087
iz142,,11.299999999999995,-0.21687039847097783
iz142,,11.499999999999995,-0.29673756195284773
iz142,,11.699999999999994,-0.3939719182841804
iz142,,11.899999999999993,-0.6229541928268642
iz142,,12.099999999999993,-0.5599143119047375
iz142,,12.299999999999992,-0.7274216774504438
iz142,,12.499999999999991,-1.1550337645729363
iz142,,12.69999999999999,-37.16044752403673
iz142,,12.89999999999999,-36.95439957328379
iz142,,13.099999999999989,-1.2349301127275025
iz142,,13.299999999999988,-36.521617833493636
iz142,,13.499999999999988,-36.29253603776826
iz142,,13.699999999999987,-36.053098673280545
iz142,,13.899999999999986,-35.80158760204041
iz142,,14.099999999999985,-35.53599962222201
iz142,,14.299999999999985,-35.25399917196811
iz142,,14.499999999999984,-34.95286318607454
