logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.652267905747656140e+00,8.343620928032731421e-02
9.499999999999998224e+00,6.233916026694613643e-01,2.807449467096462259e-02
9.699999999999997513e+00,1.234972846576383620e+00,6.311637806669045947e-02
9.899999999999996803e+00,4.299407534284412913e-01,2.668577247054398222e-02
1.009999999999999609e+01,4.126364573742969943e-01,2.459228213305853297e-02
1.029999999999999538e+01,1.884709645614947304e-01,1.298745111841825318e-02
1.049999999999999467e+01,1.130273180810982270e-01,6.762130823358746511e-03
1.069999999999999396e+01,6.425657651000467319e-02,4.902065113424650469e-03
1.089999999999999325e+01,3.007207780668218547e-02,2.421288073822229752e-03
1.109999999999999254e+01,1.737497828830526433e-02,1.242397209611334269e-03
1.129999999999999183e+01,8.057774694354586167e-03,8.406076676463819161e-04
1.149999999999999112e+01,3.881097221204282775e-03,2.736756918573872693e-04
1.169999999999999041e+01,1.869866376441136051e-03,2.683433415910842375e-04
1.189999999999998970e+01,6.939710263080505056e-04,2.768258035588982611e-04
1.209999999999998899e+01,2.763032789930200796e-04,7.764151680761835852e-05
1.229999999999998828e+01,7.710789181200561023e-05,3.276455375011816092e-05
1.249999999999998757e+01,1.285131530200093334e-05,1.573958250676189418e-05
1.269999999999998685e+01,6.425657651000466672e-06,1.285131530200093334e-05
1.289999999999998614e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.309999999999998543e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
