logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.635495332864131957e+00,1.077976672097536864e-01
9.499999999999998224e+00,6.185723594312109164e-01,4.264984293714123992e-02
9.699999999999997513e+00,1.228017072169176105e+00,9.177695881958704283e-02
9.899999999999996803e+00,4.254492187303919870e-01,3.445304910479931454e-02
1.009999999999999609e+01,4.091168033959615147e-01,3.465034663196681769e-02
1.029999999999999538e+01,1.879890402376696856e-01,1.733254183872538073e-02
1.049999999999999467e+01,1.131911723511987294e-01,1.163049759332445213e-02
1.069999999999999396e+01,6.374573672675012959e-02,6.667884695881535345e-03
1.089999999999999325e+01,3.027448602268870137e-02,3.306000861439739764e-03
1.109999999999999254e+01,1.712116481109074786e-02,2.246222338776714556e-03
1.129999999999999183e+01,7.741311055042813041e-03,1.220641367143561386e-03
1.149999999999999112e+01,3.879490806791530914e-03,8.286280439169305123e-04
1.169999999999999041e+01,1.685128718974872406e-03,3.772133328130448590e-04
1.189999999999998970e+01,7.309185578013030829e-04,1.908525791086139358e-04
1.209999999999998899e+01,2.634519636910191242e-04,1.143153210748583431e-04
1.229999999999998828e+01,9.959769359050721436e-05,5.366482151547970030e-05
1.249999999999998757e+01,2.730904501675198272e-05,3.701730970743122469e-05
1.269999999999998685e+01,6.425657651000466672e-06,1.285131530200093165e-05
1.289999999999998614e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.309999999999998543e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
