iz,z,Mg_center,median_color,p16,p84
iz100,,-20.53846153846154,-0.04873814,-0.10453284412622452,0.008498984314501282
iz100,,-20.28205128205128,-0.041718893,-0.08104434907436371,-0.0031399654224514933
iz100,,-20.025641025641026,-0.05746399,-0.08910872042179108,-0.01911070011556149
iz100,,-19.76923076923077,-0.069349796,-0.10329869538545608,-0.025698645561933495
iz100,,-19.512820512820515,-0.07513921,-0.12338880330324173,-0.03405986815690994
iz100,,-19.256410256410255,-0.08855518,-0.12390697836875916,-0.040877231657505037
iz100,,-19.0,-0.09856747,-0.141344353556633,-0.047217659056186675
iz100,,-18.743589743589745,-0.097295925,-0.14641151189804077,-0.048982006162405035
iz100,,-18.48717948717949,-0.11110397,-0.1621522045135498,-0.05134866505861283
iz100,,-18.23076923076923,-0.12016108,-0.1689283937215805,-0.06410802990198133
iz100,,-17.974358974358974,-0.13258168,-0.19124458730220795,-0.06310526967048646
iz100,,-17.71794871794872,-0.12569202,-0.180626260638237,-0.0653483468294144
iz100,,-17.461538461538463,-0.13115583,-0.19081691443920135,-0.07480045706033707
iz100,,-17.205128205128204,-0.13444388,-0.19844911396503448,-0.08494441211223602
iz100,,-16.94871794871795,-0.14507799,-0.19859471082687377,-0.09422496914863587
iz100,,-16.692307692307693,-0.1486021,-0.20070823013782502,-0.09412625014781952
iz100,,-16.435897435897438,-0.15174007,-0.20066471874713898,-0.0995297157764435
iz100,,-16.17948717948718,-0.15571558,-0.20298423171043395,-0.11159099489450454
iz100,,-15.923076923076923,-0.16059701,-0.20707424998283386,-0.1216426283121109
iz100,,-15.666666666666668,-0.15876058,-0.20229941189289094,-0.11603740513324738
iz100,,-15.410256410256412,-0.16009983,-0.19853223264217376,-0.11569865494966508
iz100,,-15.153846153846153,-0.16320193,-0.19786134898662566,-0.12653732061386108
iz100,,-14.897435897435898,-0.16460775,-0.197761390209198,-0.12275029182434082
iz100,,-14.641025641025642,-0.16631316,-0.1994740206003189,-0.12414091587066652
iz100,,-14.384615384615387,-0.16636625,-0.1990717053413391,-0.12703507542610168
iz100,,-14.128205128205128,-0.16285296,-0.1972005546092987,-0.12263209134340287
iz105,,-23.871794871794872,-0.10501849,-0.1670878142118454,-0.030667853355407712
iz105,,-23.615384615384617,-0.06846374,-0.1689682275056839,0.0236366342753172
iz105,,-23.358974358974358,-0.08182693,-0.12273334562778473,0.007661075294017794
iz105,,-23.102564102564102,-0.057498362,-0.1446131718158722,0.035772584080696106
iz105,,-22.846153846153847,0.0064790067,-0.07662632882595062,0.0920593535900116
iz105,,-22.58974358974359,0.025378656,-0.0991551285982132,0.08914044201374054
iz105,,-22.333333333333332,0.0075237304,-0.09024455726146696,0.09491725623607634
iz105,,-22.076923076923077,0.011995916,-0.10911397248506545,0.07648885160684585
iz105,,-21.82051282051282,-0.0033057774,-0.06927426487207412,0.05635636061429977
iz105,,-21.564102564102566,-0.008148792,-0.09565775394439698,0.04821463078260422
iz105,,-21.307692307692307,-0.016994145,-0.12120370268821716,0.03111754745244979
iz105,,-21.05128205128205,-0.020618532,-0.12525357127189635,0.022966324836015694
iz105,,-20.794871794871796,-0.021144416,-0.05838203102350233,0.018632258623838424
iz105,,-20.53846153846154,-0.031132245,-0.07514987587928772,0.006215395871549835
iz105,,-20.28205128205128,-0.043114208,-0.0730756625533104,0.003968251030892132
iz105,,-20.025641025641026,-0.0445429,-0.08529435783624649,0.010954028740525243
iz105,,-19.76923076923077,-0.057907388,-0.0923395186662674,-0.01220127820968628
iz105,,-19.512820512820515,-0.06852008,-0.10629449337720871,-0.022244358360767387
iz105,,-19.256410256410255,-0.07867471,-0.11894476860761642,-0.025417852103710198
iz105,,-19.0,-0.08873796,-0.13045148134231568,-0.02261651948094368
iz105,,-18.743589743589745,-0.09732191,-0.14646588265895844,-0.04075494036078453
iz105,,-18.48717948717949,-0.10245794,-0.15649334192276002,-0.0407148602604866
iz105,,-18.23076923076923,-0.10767551,-0.15842583596706392,-0.04646458178758622
iz105,,-17.974358974358974,-0.11476698,-0.17275387406349182,-0.05402182087302214
iz105,,-17.71794871794872,-0.11791392,-0.18031661927700043,-0.05744192183017732
iz105,,-17.461538461538463,-0.120020285,-0.18265095710754395,-0.06344170928001404
iz105,,-17.205128205128204,-0.122809455,-0.1841181480884552,-0.0735264512896538
iz105,,-16.94871794871795,-0.13003552,-0.18467799425125123,-0.081517194211483
iz105,,-16.692307692307693,-0.13557063,-0.18698126673698426,-0.08328210413455965
iz105,,-16.435897435897438,-0.14184906,-0.18722904086112976,-0.09209646344184881
iz105,,-16.17948717948718,-0.14702274,-0.18967723250389099,-0.09546392381191258
iz105,,-15.923076923076923,-0.14873764,-0.19288105964660646,-0.10446121782064435
iz105,,-15.666666666666668,-0.14957051,-0.19447409272193908,-0.10711698353290562
iz105,,-15.410256410256412,-0.15091556,-0.1898057985305786,-0.10496048688888553
iz105,,-15.153846153846153,-0.15363665,-0.1881282538175583,-0.1120964556932449
