r,xi,xi_std
1.171181628436923916e-01,5.996374275734331150e+02,1.183412535781439772e+02
1.561069883189306895e-01,3.992814235374007126e+02,9.548076293441864948e+01
2.081565229669845307e-01,2.611264594810185713e+02,7.353295351260126722e+01
2.772770598471386849e-01,1.672337380824145612e+02,5.475356327225527053e+01
3.697953751204965944e-01,1.036649123187168016e+02,3.960965261512251345e+01
4.921544844441902433e-01,6.181350138951295037e+01,2.732311260896548433e+01
6.557960836216865097e-01,3.476589556862196417e+01,1.806685311566340957e+01
8.735873308088843991e-01,1.828719919500251834e+01,1.158380330661093360e+01
1.161009213192387479e+00,8.818459320073223751e+00,6.883067344763815321e+00
1.544766666984223713e+00,3.674176572662317231e+00,3.613025925663708282e+00
2.072661237328695005e+00,1.224015918332703734e+00,1.507715740962960904e+00
2.789662069001627831e+00,2.842960031658562925e-01,4.450514038549010509e-01
3.732062526960221671e+00,5.306450544986497653e-02,1.083456209782690111e-01
4.994134444189355371e+00,9.733466236535742028e-03,4.654525954059963305e-02
6.641652295596831124e+00,4.280489679793881078e-03,3.302841451348747376e-02
8.869230175513095560e+00,-3.825423578502839921e-03,2.008374624330032041e-02
1.182627705967206921e+01,-2.753079428860605304e-03,1.304525852492991085e-02
1.577089167550500193e+01,-3.151221634704909347e-03,8.724915003273677958e-03
2.102798070222889848e+01,-2.320517414407724521e-03,4.284239935360786670e-03
