iz,z,r,xi
82,6.01075,0.11288378916846889,-1.0
82,6.01075,0.14384498882876628,-1.0
82,6.01075,0.18329807108324359,-1.0
82,6.01075,0.23357214690901218,12251.239374528035
82,6.01075,0.29763514416313175,1972.8072721125318
82,6.01075,0.3792690190732249,-1.0
82,6.01075,0.4832930238571753,921.0528042638896
82,6.01075,0.6158482110660263,667.4325318930261
82,6.01075,0.7847599703514611,645.0975591661759
82,6.01075,0.9999999999999999,207.169628717441
82,6.01075,1.2742749857031337,149.91039400711605
82,6.01075,1.6237767391887217,47.622627100784705
82,6.01075,2.069138081114789,10.749488239709061
82,6.01075,2.636650898730357,7.51766855021493
82,6.01075,3.3598182862837818,9.977412772924103
82,6.01075,4.281332398719393,12.926430909531566
82,6.01075,5.455594781168517,5.089542438585971
82,6.01075,6.951927961775603,1.9430333790508048
82,6.01075,8.858667904100825,2.069276186528241
100,4.30093,0.11288378916846889,3457.957453584907
100,4.30093,0.14384498882876628,1670.690007136366
100,4.30093,0.18329807108324359,806.9161185007574
100,4.30093,0.23357214690901218,389.4602239331833
100,4.30093,0.29763514416313175,93.3533511603089
100,4.30093,0.3792690190732249,637.4044295065305
100,4.30093,0.4832930238571753,109.19157399286641
100,4.30093,0.6158482110660263,116.16060179690716
100,4.30093,0.7847599703514611,29.885219010556508
100,4.30093,0.9999999999999999,56.21867507106141
100,4.30093,1.2742749857031337,30.260349952219748
100,4.30093,1.6237767391887217,18.175423031653093
100,4.30093,2.069138081114789,15.568895232175201
100,4.30093,2.636650898730357,14.336650120280744
100,4.30093,3.3598182862837818,8.24872157308203
100,4.30093,4.281332398719393,5.562109372231622
100,4.30093,5.455594781168517,4.132494025433606
100,4.30093,6.951927961775603,2.8799440122981506
100,4.30093,8.858667904100825,1.9737586743839581
105,4.00794,0.11288378916846889,2661.234722590095
105,4.00794,0.14384498882876628,1542.9673631577637
105,4.00794,0.18329807108324359,1740.106863247045
105,4.00794,0.23357214690901218,539.9416576553085
105,4.00794,0.29763514416313175,376.62592032901193
105,4.00794,0.3792690190732249,349.96917869741725
105,4.00794,0.4832930238571753,121.12708807040768
105,4.00794,0.6158482110660263,80.97662456724858
105,4.00794,0.7847599703514611,49.711975389068705
105,4.00794,0.9999999999999999,45.7197931195242
105,4.00794,1.2742749857031337,22.31965665106782
105,4.00794,1.6237767391887217,16.71035730860894
105,4.00794,2.069138081114789,15.426924303848935
105,4.00794,2.636650898730357,11.994918805043644
105,4.00794,3.3598182862837818,6.895878646915097
105,4.00794,4.281332398719393,4.162854738080524
105,4.00794,5.455594781168517,3.1460414084157016
105,4.00794,6.951927961775603,2.1800173840589796
105,4.00794,8.858667904100825,1.4766356479216034
120,3.04629,0.11288378916846889,3270.512626469823
120,3.04629,0.14384498882876628,1777.7366335627228
120,3.04629,0.18329807108324359,1001.9261739934044
120,3.04629,0.23357214690901218,529.8698160333307
120,3.04629,0.29763514416313175,261.14319341884294
120,3.04629,0.3792690190732249,171.51673413578757
120,3.04629,0.4832930238571753,100.61466344223487
120,3.04629,0.6158482110660263,65.10915495049778
120,3.04629,0.7847599703514611,44.947277176199584
120,3.04629,0.9999999999999999,29.588395318501796
120,3.04629,1.2742749857031337,19.824352471376393
120,3.04629,1.6237767391887217,14.457061174374145
120,3.04629,2.069138081114789,11.168272108862288
120,3.04629,2.636650898730357,7.424124247939162
120,3.04629,3.3598182862837818,4.951882798611749
120,3.04629,4.281332398719393,3.990311823080882
120,3.04629,5.455594781168517,3.0102796249349453
120,3.04629,6.951927961775603,1.992124249737118
120,3.04629,8.858667904100825,1.4648390858324567
142,2.00203,0.11288378916846889,2628.6243564492456
142,2.00203,0.14384498882876628,1427.3331554714878
142,2.00203,0.18329807108324359,852.3672568186959
142,2.00203,0.23357214690901218,605.8185229553441
142,2.00203,0.29763514416313175,354.4801925959185
142,2.00203,0.3792690190732249,187.98120692111374
142,2.00203,0.4832930238571753,101.6016929707757
142,2.00203,0.6158482110660263,60.76838189420452
142,2.00203,0.7847599703514611,35.98628720741888
142,2.00203,0.9999999999999999,27.58695366331052
142,2.00203,1.2742749857031337,17.44273749161493
142,2.00203,1.6237767391887217,12.792075962815
142,2.00203,2.069138081114789,9.296937877121657
142,2.00203,2.636650898730357,6.67923772926627
142,2.00203,3.3598182862837818,4.274402000004032
142,2.00203,4.281332398719393,2.998082780381017
142,2.00203,5.455594781168517,1.9776330141060923
142,2.00203,6.951927961775603,1.565695906198214
142,2.00203,8.858667904100825,1.220287861701955
155,1.49551,0.11288378916846889,2111.621873280703
155,1.49551,0.14384498882876628,1356.7332625061724
155,1.49551,0.18329807108324359,922.9056837515313
155,1.49551,0.23357214690901218,498.79478873207086
155,1.49551,0.29763514416313175,300.6276362922719
155,1.49551,0.3792690190732249,202.25473423148964
155,1.49551,0.4832930238571753,116.13330146964854
155,1.49551,0.6158482110660263,69.31230168829693
155,1.49551,0.7847599703514611,49.30324126528702
155,1.49551,0.9999999999999999,25.73586039284424
155,1.49551,1.2742749857031337,15.889814334546692
155,1.49551,1.6237767391887217,10.311534416567788
155,1.49551,2.069138081114789,6.904577948567841
155,1.49551,2.636650898730357,5.11306929634563
155,1.49551,3.3598182862837818,3.185263239850415
155,1.49551,4.281332398719393,2.1094509084479753
155,1.49551,5.455594781168517,1.3865626785683798
155,1.49551,6.951927961775603,1.0935909783482671
155,1.49551,8.858667904100825,1.0433997144710654
176,1.00678,0.11288378916846889,2950.848383877141
176,1.00678,0.14384498882876628,1717.9867011005583
176,1.00678,0.18329807108324359,1268.3061591443636
