r,xi,xi_std
1.170667408266839599e-01,5.520609294152432085e+02,6.596975320414645694e+01
1.559624052789281290e-01,3.610190665810279143e+02,4.828939976229776221e+01
2.080087455597810497e-01,2.312792027550085550e+02,3.526183411907624077e+01
2.768954205286978110e-01,1.445524429087725764e+02,2.539559412608075206e+01
3.689100143957985689e-01,8.712040155112615025e+01,1.741089764911552962e+01
4.913208079023792529e-01,4.961393574962643527e+01,1.120960126687560354e+01
6.544217981636734072e-01,2.658586104599232414e+01,6.745368009410599441e+00
8.714290202140980712e-01,1.293201178277699981e+01,3.686233114389386945e+00
1.159788576832003315e+00,5.498504048246181775e+00,1.959297392361778467e+00
1.550932776455682394e+00,1.948162488506977486e+00,8.612742510889551673e-01
2.085171341791375088e+00,5.559402103416947183e-01,3.133742954954187310e-01
2.801810664252433636e+00,1.376143439000671320e-01,1.317052287794794330e-01
3.736390987667919994e+00,4.926376687594452575e-02,1.095065746062484774e-01
4.989454314732888029e+00,-6.499759389556536253e-03,1.873769398859173249e-02
6.645872493815524251e+00,-2.282765638621397811e-04,1.353864963244895761e-02
8.874441779752352488e+00,3.927582661298356995e-03,1.404328808931655515e-02
1.182258821771360502e+01,1.044225098601658710e-03,6.525868206710600666e-03
1.576853987317921124e+01,-5.878230803490036138e-04,5.239867864373152530e-03
2.103044121385945076e+01,-2.952184098754950890e-03,2.621213928388018213e-03
