r,xi,xi_std
1.172960722619128399e-01,6.370372604061574293e+02,3.216435872792152395e+01
1.563427323985473183e-01,4.436991147462060781e+02,2.217564257881960543e+01
2.083227873515045570e-01,3.031641561028760634e+02,1.237041636775390430e+01
2.776359720806932385e-01,2.043954466266618510e+02,3.242872390919202985e+00
3.700012481351638294e-01,1.343194627803588332e+02,1.761586675901114063e+00
4.927040043821427906e-01,8.468828637078439669e+01,3.637136440414764138e+00
6.554220577090504873e-01,4.964733740279682195e+01,4.039507878003522734e+00
8.731401092196175995e-01,2.638494444888115353e+01,2.820920822854752430e+00
1.163367874780246503e+00,1.256602713003898586e+01,1.021995992911906903e+00
1.550377703038041455e+00,5.257837113479184588e+00,1.309220446392531656e-01
2.068339493634193893e+00,1.913624643825304839e+00,1.375943881008507841e-01
2.766323306252843395e+00,4.805511662188575173e-01,8.769460854851884868e-02
3.721078857186080668e+00,5.478048648738431670e-02,8.911786017797962423e-03
4.989356359962592968e+00,-3.623437312455402015e-03,9.588732177921888145e-03
6.649194682975079651e+00,-1.330018371911489972e-02,8.401182656682104621e-04
8.867588952556991089e+00,-9.934117997870695049e-03,7.758256017437625829e-03
1.182559589777849318e+01,-7.915177723692878864e-03,7.644746475860109136e-03
1.576867085479255159e+01,-1.059556026013741548e-02,3.170111916190210266e-03
2.102258256067722897e+01,-5.474380858327909660e-03,3.418274939026022530e-04
