r,xi,xi_std
1.171473121724999206e-01,4.588616100721214508e+01,1.684892985098695117e+00
1.561167394530620089e-01,2.901525132315320121e+01,1.068422954060403329e+00
2.080807461255897162e-01,1.833514744638642568e+01,6.307822482367508865e-01
2.778301156279724404e-01,1.193332876015266741e+01,3.965292262390791578e-01
3.707693412563551338e-01,7.974449694812035361e+00,2.377320517061931593e-01
4.947235842157972630e-01,5.466121398994404856e+00,1.479311994114765327e-01
6.605711318804599053e-01,3.832615105942594802e+00,9.210900481301068088e-02
8.814259676829170331e-01,2.726558168331196352e+00,6.345637421190650218e-02
1.175952814851957573e+00,1.951334011547980696e+00,6.623182883358658124e-02
1.569088264810240441e+00,1.396329207745275802e+00,7.844406274891171926e-02
2.092563073123873796e+00,9.843959999616884726e-01,8.790644401601356572e-02
2.792276991744429893e+00,6.737443711194029961e-01,9.374806593967467683e-02
3.726605038216722843e+00,4.393588601084768008e-01,9.513835974910340998e-02
4.974851103581189982e+00,2.646399334347145360e-01,9.162418965817900607e-02
6.641070466719986243e+00,1.409564411051054678e-01,8.186513032985702487e-02
8.862324205209596073e+00,6.393516146386393761e-02,6.649264732788760790e-02
1.182228770435366627e+01,2.338932988918565603e-02,4.789555622737030893e-02
1.576792450038032101e+01,5.696352740560306667e-03,2.521083317115701411e-02
2.103831894844848449e+01,-4.097943377823998375e-03,6.866296420873392592e-03
