r,xi,xi_std
1.171207913113483934e-01,1.295846817787777070e+02,1.144696666003984653e+01
1.561287298536359058e-01,8.583987939928124433e+01,9.040842139008736567e+00
2.080309311828849039e-01,5.628115777957276578e+01,7.070097115687635991e+00
2.773731396171595365e-01,3.624837800636339580e+01,5.222001326092423845e+00
3.695859894427277470e-01,2.285202509902927659e+01,3.883923337798409037e+00
4.926753482374637283e-01,1.381853861608468392e+01,2.773565489172228116e+00
6.575097558928013619e-01,7.992028975476985764e+00,1.735354865564299187e+00
8.776726598208793861e-01,4.476235709372679672e+00,1.000293962980023155e+00
1.171931155469210672e+00,2.531981307184196339e+00,6.077616408778478974e-01
1.565887298358435542e+00,1.491653306273731827e+00,3.864037647113657825e-01
2.091489572211342463e+00,9.022931807143572680e-01,2.693877559780197828e-01
2.795730325779119063e+00,5.381182574037248756e-01,2.015643609122963198e-01
3.730362726691575759e+00,2.914482606791132246e-01,1.398617423334047594e-01
4.978730167847993826e+00,1.382137184015143350e-01,9.920602439182167609e-02
6.646605180727156004e+00,4.724954528978862062e-02,6.200146562073883399e-02
8.868304479994137068e+00,6.883355039588196292e-03,2.321776447683160383e-02
1.182707510756720382e+01,-4.607151128474207269e-03,8.091661132788228322e-03
1.576838469188326286e+01,-4.071240286438304774e-03,4.284495010695371815e-03
2.103275301783957829e+01,-1.979028350300082641e-03,4.615826086750219812e-03
