r,xi,xi_std
1.172044096161179022e-01,4.584868670463866636e+01,2.609776355357997790e+00
1.559846366670772089e-01,2.896861294583514024e+01,1.575560991921126419e+00
2.082478304788724643e-01,1.836891083643109468e+01,9.203993827878373946e-01
2.780617231411056101e-01,1.193622530667464687e+01,5.565944273375543760e-01
3.709783944656246391e-01,8.003614731113151137e+00,3.021713746974620252e-01
4.949668123790456065e-01,5.497113083991022719e+00,1.745432042755140634e-01
6.606977015372312856e-01,3.856408257699929898e+00,9.903931216020597783e-02
8.819227137919207760e-01,2.748397476679991236e+00,6.432483372796013454e-02
1.176019402541303993e+00,1.974734531333170562e+00,6.207866402460081312e-02
1.569569873649078851e+00,1.413717452167959632e+00,6.785861542372055577e-02
2.093917787765601446e+00,1.000949818398557234e+00,7.561870879058940620e-02
2.792430528063191808e+00,6.903911026056112066e-01,8.107534354001171006e-02
3.726407914367073637e+00,4.525910088389476504e-01,8.291268172119550806e-02
4.972993180384467138e+00,2.723852058987865088e-01,8.075245894720989304e-02
6.638238426229263744e+00,1.480404173980451321e-01,7.652529539629776556e-02
8.861030008505434097e+00,6.980924922971301627e-02,6.459485717914366376e-02
1.182581975305369859e+01,3.004068554892037543e-02,4.080836756436951457e-02
1.576956399417527166e+01,1.062961680828053944e-02,1.672518676557370812e-02
2.102966375951223910e+01,-2.732558042749322260e-03,2.338974725532737796e-03
