r,xi,xi_std
1.171243462048516121e-01,5.485380149450827503e+02,3.169919658435662768e+01
1.560632567218731004e-01,3.567730049308212301e+02,1.700739119763952090e+01
2.080552347071336905e-01,2.270446265174528548e+02,7.908124950784682028e+00
2.773202425300763663e-01,1.423699159863024875e+02,4.454301518404975013e+00
3.692604003974489513e-01,8.480952201309200689e+01,2.813636796468244938e+00
4.915899776947592614e-01,4.719059535871720357e+01,1.430576030479901561e+00
6.542994651218081437e-01,2.434424368762119428e+01,3.720124802118451313e-01
8.703049596888859929e-01,1.128440074310663022e+01,9.690513173819503834e-02
1.158497572790723407e+00,4.665181682572935529e+00,4.120051093953214227e-01
1.544848168489857176e+00,1.533278252265557695e+00,3.810714214409747225e-01
2.084205683928957331e+00,2.951121477031394269e-01,1.587976524913229381e-01
2.806600432983394899e+00,1.326782465657411203e-02,1.770404766766991989e-02
3.737202161780400100e+00,9.292089790290281037e-03,2.672245196658662447e-02
4.983736327711833169e+00,-1.138670369780059310e-02,4.017267620391451466e-03
6.651656187658380404e+00,5.974185991358238468e-03,3.931856435817726592e-03
8.877047733026167009e+00,-1.844540554347018357e-03,1.011401570265846317e-02
1.182581482234222037e+01,-2.244260335857173327e-03,6.595637137909837744e-03
1.577221970560564834e+01,1.636054704163059093e-03,5.372988329247485595e-04
2.102435614298709865e+01,-4.397472920701306354e-03,1.056116555958219738e-03
