r,xi,xi_std
1.170767943690135399e-01,1.316468910536726753e+02,1.069933691166693102e+01
1.561458108968568348e-01,8.743444801887412154e+01,8.413038110252301749e+00
2.082755175067829145e-01,5.768876003661240759e+01,6.389218864313959578e+00
2.774798946189279136e-01,3.748060737723274372e+01,4.841824295242387777e+00
3.700000342174168955e-01,2.376351333910386998e+01,3.508707440396233945e+00
4.931555647230519979e-01,1.458991406821044379e+01,2.506655626731504327e+00
6.574697351003108148e-01,8.576804370242138376e+00,1.594009090006714979e+00
8.772787439504478035e-01,4.842156038384547223e+00,9.462993329874939130e-01
1.171749654486515579e+00,2.727930336927969712e+00,5.441907096002518429e-01
1.566346038193204615e+00,1.598634004701518396e+00,3.277688243688384739e-01
2.092871118574356260e+00,9.646178206363433816e-01,2.216019757882631835e-01
2.788590718598285889e+00,5.805681841212205763e-01,1.798439562035975825e-01
3.725757051610377957e+00,3.249608651726151320e-01,1.503855977101253294e-01
4.975099502083067726e+00,1.667820022345619380e-01,1.179921497581797873e-01
6.642063713600188102e+00,7.251643751528318027e-02,7.587517349879838169e-02
8.868664568763042766e+00,2.091724268208305232e-02,3.165621470798384018e-02
1.182601173264089489e+01,1.516604808039900788e-03,1.044790119002701051e-02
1.577085207626627827e+01,-1.200345876294539550e-03,7.626414403224218534e-03
2.103038573635418018e+01,-1.073158785382333225e-03,4.422545803106341794e-03
