r,xi,xi_std
1.170163770831765260e-01,4.609565893847243245e+01,2.249713188673196917e+00
1.562423160658005794e-01,2.903124977112519645e+01,1.453842288973023811e+00
2.082646672221536988e-01,1.839717165173258806e+01,8.619880917336262272e-01
2.780103620378152063e-01,1.192343609566595930e+01,5.187613256057919120e-01
3.709292615704188889e-01,7.961140880731083946e+00,3.040152265285429589e-01
4.952886398650400146e-01,5.450899146880483492e+00,1.946861285327009805e-01
6.607358175473908579e-01,3.819955071134379043e+00,1.157352356435058932e-01
8.820338271730162605e-01,2.723144051034484203e+00,8.373438402405668224e-02
1.176430716250543851e+00,1.940027523816270305e+00,8.265338905808858327e-02
1.570234225282797436e+00,1.386449219532383648e+00,9.097847950399938488e-02
2.094764621433155671e+00,9.796388719645199306e-01,9.830728761999608933e-02
2.794673427174603653e+00,6.682753975001445301e-01,1.012111538835417657e-01
3.728383677435942456e+00,4.346603455196190180e-01,9.300387576707180859e-02
4.973250309396376245e+00,2.611449071853703119e-01,7.810181515344667702e-02
6.636272058920400063e+00,1.383125175260190298e-01,5.848967105593595728e-02
8.853798208279000548e+00,6.073757510263040615e-02,3.913737552034458195e-02
1.181012816113096697e+01,1.778208213883647471e-02,2.265054730347236187e-02
1.575852250796670262e+01,6.062190221560514796e-04,1.249762669131046153e-02
2.101875215386980500e+01,-4.830010908858850191e-03,5.632962960473364943e-03
