r,xi,xi_std
1.172753791451310174e-01,1.605441894502528726e+02,2.986870472365851015e+00
1.563063966898784463e-01,1.108998278482896751e+02,3.258905188891382920e+00
2.084549487039703553e-01,7.585906846638127377e+01,3.234614540882361666e+00
2.779229554854006357e-01,5.040042160016299277e+01,3.026360520610595017e+00
3.704847342916577357e-01,3.290431810606594354e+01,2.635861874426474571e+00
4.934044563963445040e-01,2.063995902912743219e+01,2.142542686011536190e+00
6.578386549313370857e-01,1.244312261122480479e+01,1.582797839428822684e+00
8.769041505651312685e-01,7.357391443323406222e+00,1.002594401313228190e+00
1.168749788491786790e+00,4.097101147195813198e+00,5.636272291322512729e-01
1.562331560279823339e+00,2.272952845793350107e+00,3.300960672744546187e-01
2.089637654614705298e+00,1.383132060789173057e+00,1.815347327298111324e-01
2.790169487575318019e+00,9.092611571482490662e-01,1.232143159144064581e-01
3.723556174925769291e+00,5.707388010069963658e-01,9.994783866832113173e-02
4.963727066184050685e+00,3.201503247316853651e-01,6.912145701872562942e-02
6.627477980722021655e+00,1.257320683127239880e-01,3.875571079281636688e-02
8.853749199000302994e+00,3.768682161615488635e-02,2.131148094975576779e-02
1.182129116419137205e+01,1.638702607945585754e-02,1.579543797618843115e-02
1.576217859825264433e+01,-3.885924434029963681e-03,8.541443762564659981e-03
2.102872957499470985e+01,-5.128230211823625595e-03,4.242072619348169482e-03
