r,xi,xi_std
1.173277386500865965e-01,5.991455149325133789e+02,9.677930339028883111e+01
1.563947310780140210e-01,3.996283156058368036e+02,7.643490173573619018e+01
2.084845838102097337e-01,2.622116842656369613e+02,5.857724907267358105e+01
2.777979923109248350e-01,1.679336738879591735e+02,4.282864285627896095e+01
3.701738867308148606e-01,1.038281027809192949e+02,3.021295816043912552e+01
4.931999954413968656e-01,6.179998754978963404e+01,2.063221075017969852e+01
6.569229914521703684e-01,3.480809735275486361e+01,1.356472447964123340e+01
8.748963764994547310e-01,1.821720541891779277e+01,8.648575493336359443e+00
1.165263198146235357e+00,8.631720326941607624e+00,5.313990417220966656e+00
1.549985647639678277e+00,3.615716568092270045e+00,2.823354313687924222e+00
2.067331606133515187e+00,1.316119242037286252e+00,1.321993445589680016e+00
2.748896727145034635e+00,3.562793990542005851e-01,4.446140806591507566e-01
3.700946843347078907e+00,6.522651729788027375e-02,1.056242148784301976e-01
4.984517003886761444e+00,1.430634936964083649e-02,3.393853674550721677e-02
6.641501496374106139e+00,1.076800545333940137e-02,2.336066627501256002e-02
8.863890679277774964e+00,-2.530596308426102774e-03,1.259339447119839882e-02
1.182221368217900981e+01,-3.625209396336881613e-03,9.427929243284888586e-03
1.577005437708356794e+01,-6.360836691894311730e-03,8.772044479055272556e-03
2.104683351317510187e+01,-1.836283636109203908e-03,2.211430960806091278e-03
