r,xi,xi_std
1.171858010294350438e-01,1.297112619938998250e+02,6.046603905026539216e+00
1.562492817015057323e-01,8.565545521694203046e+01,4.325127523432426457e+00
2.081599055388161645e-01,5.595526675282317086e+01,3.042408859384549302e+00
2.775760502015303666e-01,3.576448622086718387e+01,2.156883083157833170e+00
3.699245705579458088e-01,2.219026964591980899e+01,1.506910341452683433e+00
4.929324801599035411e-01,1.334617374934090606e+01,1.019343869336047703e+00
6.575212018544119852e-01,7.764088147251714922e+00,6.258229034401577850e-01
8.768622888513093461e-01,4.404446785151952426e+00,3.602998051811812652e-01
1.171520860083612892e+00,2.522086449893743421e+00,2.001956678304394333e-01
1.564837256499841844e+00,1.467996399046994194e+00,1.236330667264638888e-01
2.091860992347621906e+00,8.769410896516282028e-01,9.721088586367150619e-02
2.789368420209792809e+00,5.106062972698317548e-01,7.523319335001062147e-02
3.726698403829595829e+00,2.541487645489340363e-01,4.256743845628272599e-02
4.974456578701818010e+00,9.742136529066085238e-02,2.586604781409603329e-02
6.640810432614615344e+00,2.343215766616602025e-02,1.500747647212398971e-02
8.865341924646999772e+00,1.139086363300423257e-03,4.956384343713030570e-03
1.181623997773379031e+01,-1.696766489308210212e-03,8.457392824360412606e-03
1.576891233914294332e+01,-5.069973824585782655e-03,3.832950840442186230e-03
2.103234450171306946e+01,-3.334142987538579565e-03,1.841992671236083838e-03
