logM,phi,phi_poisson_err,phi_ivol_scatter,counts
6.05,0.44082153371746874,0.0030727665389446764,0.006613226584979191,20581.0
6.1499999999999995,0.45851351111655675,0.0031338213365331843,0.0034329693653863385,21407.0
6.249999999999999,0.4500102241583994,0.0031046264616385304,0.006291021847531293,21010.0
6.349999999999999,0.45174515172416957,0.0031106053486305934,0.0045659863009087824,21091.0
6.449999999999998,0.44701158392126583,0.003094265343238208,0.002218791155401238,20870.0
6.549999999999998,0.45999141237628677,0.0031388678098587283,0.005611086966135507,21476.0
6.649999999999998,0.4937261150440393,0.0032519301902262437,0.005202137721686117,23051.0
6.749999999999997,0.5225987367558681,0.0033456641449486637,0.010495087837003501,24399.0
6.849999999999997,0.47802609151676145,0.0031998083340165485,0.009757130695406036,22318.0
6.949999999999997,0.435252630419935,0.003053295702884526,0.00605388803828939,20321.0
7.049999999999996,0.3921793052993952,0.002898281073131168,0.0068548045247554205,18310.0
7.149999999999996,0.34651429825961855,0.0027243239233450045,0.0074499766841860425,16178.0
7.249999999999996,0.31095899259074933,0.002580772513472239,0.0020525257805502246,14518.0
7.349999999999995,0.2777383425350769,0.002439024057341177,0.003655478269166614,12967.0
7.449999999999995,0.24895139625859478,0.002309167558592121,0.004527847464259879,11623.0
7.5499999999999945,0.21834384698099588,0.002162562377445108,0.004590186881738389,10194.0
7.649999999999994,0.2034363212306748,0.002087432357392908,0.004253086444476265,9498.0
7.749999999999994,0.173856877177236,0.0019297191272418853,0.003935070507054412,8117.0
7.849999999999993,0.15532956428351796,0.0018240016476280536,0.0025519920898837657,7252.0
7.949999999999993,0.14025068766250354,0.0017332079162030182,0.0028681283602927316,6548.0
8.049999999999994,0.12446498869987906,0.0016327577968180752,0.002509299529310671,5811.0
8.149999999999991,0.11319866895179156,0.0015571083169700051,0.0027714877745795177,5285.0
8.249999999999993,0.10169674175650074,0.0014758821619057507,0.0013544782345783935,4748.0
8.34999999999999,0.09053751630259659,0.0013925553063012846,0.0013900822883555811,4227.0
8.449999999999992,0.08081335439074921,0.0013156480645723993,0.0020545364185316746,3773.0
8.54999999999999,0.07177459596167522,0.0012398910996381976,0.0038703587511655715,3351.0
8.649999999999991,0.06481346683975805,0.0011782319368256213,0.0015237527318011147,3026.0
8.74999999999999,0.058644835494797605,0.0011207611043227278,0.00025968986221678637,2738.0
8.84999999999999,0.05114823490196372,0.0010466789493965701,0.0012259373456348136,2388.0
8.949999999999989,0.045343724157226636,0.000985500292669901,0.0006930581411517925,2117.0
9.04999999999999,0.03799705557624943,0.0009021383317411604,0.001354478234578403,1774.0
9.149999999999988,0.033841796961935795,0.0008513827998655424,0.0014572696461813937,1580.0
9.24999999999999,0.030093496665518856,0.0008028501460300635,0.0021392068508689333,1405.0
9.349999999999987,0.026537966098631932,0.0007539316611463432,0.0014353831909174133,1239.0
9.449999999999989,0.023132367543601682,0.0007038955284517229,0.0003400138430917341,1080.0
9.549999999999986,0.018741501482084696,0.0006335783887033872,0.0012432166964015542,875.0
9.649999999999988,0.016492521304234533,0.0005943492118915804,0.0021207915281643416,770.0
9.749999999999986,0.012894153019674271,0.0005255264440033466,0.0004865429448202927,602.0
9.849999999999987,0.009959769359050725,0.0004618732444592142,0.00044979603557003273,465.0
9.949999999999985,0.0077536268988738985,0.00040752158227408473,0.0005233394746982851,362.0
10.049999999999986,0.005997280474267103,0.00035840606005232913,0.00025968986221678464,280.0
10.149999999999984,0.005483227862187065,0.00034270174138669156,0.000546495792779957,256.0
10.249999999999986,0.004733567802903678,0.0003184142279550203,0.0010642823834551534,221.0
10.349999999999984,0.0037483002964169396,0.0002833448692431117,0.0003297391405126687,175.0
10.449999999999985,0.0035341117080502573,0.00027513022332660016,0.00019276972953001428,165.0
10.549999999999983,0.0016278332715867852,0.00018672528230999992,0.0005794979034899681,76.0
10.649999999999984,0.0004283771767333645,9.578804871852444e-05,0.0001963070838372119,20.0
10.749999999999982,0.0,0.0,0.0,0.0
10.849999999999984,0.0,0.0,0.0,0.0
10.949999999999982,0.0,0.0,0.0,0.0
11.049999999999983,0.0,0.0,0.0,0.0
11.14999999999998,0.0,0.0,0.0,0.0
11.249999999999982,0.0,0.0,0.0,0.0
11.34999999999998,0.0,0.0,0.0,0.0
11.449999999999982,0.0,0.0,0.0,0.0
11.54999999999998,0.0,0.0,0.0,0.0
11.64999999999998,0.0,0.0,0.0,0.0
11.749999999999979,0.0,0.0,0.0,0.0
11.84999999999998,0.0,0.0,0.0,0.0
11.949999999999978,0.0,0.0,0.0,0.0
12.04999999999998,0.0,0.0,0.0,0.0
12.149999999999977,0.0,0.0,0.0,0.0
12.249999999999979,0.0,0.0,0.0,0.0
12.349999999999977,0.0,0.0,0.0,0.0
12.449999999999978,0.0,0.0,0.0,0.0
12.549999999999976,0.0,0.0,0.0,0.0
12.649999999999977,0.0,0.0,0.0,0.0
12.749999999999975,0.0,0.0,0.0,0.0
12.849999999999977,0.0,0.0,0.0,0.0
12.949999999999974,0.0,0.0,0.0,0.0
