r,xi,xi_jk_err,DD,RR
0.1166760716081662,119.43734136474362,1.1841789623462975,294896,2448.5429241327206
0.15559004211011235,76.30318324600181,1.0806929818999305,448854,5806.410307472237
0.2074826557850289,48.019516962978635,0.8357988539521433,674958,13769.168727422455
0.27668256829150173,29.382908226346167,0.6474572593919078,992058,32651.844669028393
0.3689621347227101,17.541587013354135,0.435808386310445,1435670,77429.72588948255
0.49201891430946565,10.300101185063037,0.2786834744299257,2074866,183614.81601090863
0.6561177672614025,6.061771654381531,0.17739839917260605,3074832,435419.34665817133
0.8749471046662279,3.59840476011263,0.15747881790105664,4748046,1032541.9896015645
1.166760716081662,2.0992636172338828,0.11910859147937594,7588680,2448542.924132719
1.5559004211011234,1.1210870999162323,0.09502897686659155,12315902,5806410.307472234
2.074826557850289,0.4531423353213233,0.09071078135201528,20008562,13769168.727422455
2.766825682915017,-0.03973321207971381,0.09483923766962185,31354482,32651844.66902838
3.6896213472271007,-0.39442918773952373,0.09356780901266326,46889182,77429725.88948259
4.920189143094657,-0.6578372085384029,0.08384365633647235,62826158,183614816.01090848
6.561177672614024,-0.829091875289544,0.06907059743022385,74416704,435419346.6581713
8.74947104666228,-0.9266460456206466,0.04195288838701847,75741038,1032541989.6015645
11.667607160816619,-0.9763380893065121,0.015511065703680769,57937204,2448542924.132719
15.559004211011235,-0.9948212278485895,0.002803837019155346,30070076,5806410307.472236
20.748265578502888,-0.9979674649534752,0.00016997418465220779,27986318,13769168727.42246
27.668256829150174,-0.9981178472878657,5.998939617474662e-05,61455758,32651844669.0284
36.896213472271015,-0.9982007647528179,8.326051806142416e-05,139314292,77429725889.48257
49.20189143094657,-0.9982165232680322,8.753782334811068e-05,327472752,183614816010.90854
65.61177672614025,-0.9983920256429266,4.806061869541381e-05,700143144,435419346658.1712
87.49471046662279,-0.9985166436353925,2.5091492420184212e-05,1531627732,1032541989601.5646
