r,xi,xi_jk_err,DD,RR
0.1166760716081662,93.37898752045609,,36636,388.1796251740819
0.15559004211011235,57.6451801298935,,53984,920.5189562114153
0.2074826557850289,36.18182528814397,,81164,2182.89444832286
0.27668256829150173,23.00560152705049,,124264,5176.4584969876405
0.3689621347227101,15.155182861716643,,198310,12275.317568205333
0.49201891430946565,10.115597903128478,,323568,29109.365309888726
0.6561177672614025,6.79806413503191,,538294,69029.18348436964
0.8749471046662279,4.576588342928308,,912854,163693.99063812796
1.166760716081662,3.024415241524909,,1562196,388179.6251740816
1.5559004211011234,1.9302818608990115,,2697380,920518.9562114148
2.074826557850289,1.1227531196298353,,4633746,2182894.4483228605
2.766825682915017,0.5178276817195087,,7856972,5176458.496987639
3.6896213472271007,0.08187245879469285,,13280328,12275317.568205338
4.920189143094657,-0.25470322801473155,,21695116,29109365.3098887
6.561177672614024,-0.5260379400633037,,32717214,69029183.48436964
8.74947104666228,-0.723028757358429,,45338528,163693990.63812798
11.667607160816619,-0.8708267030308113,,50142442,388179625.1740817
15.559004211011235,-0.9610447804925331,,35859018,920518956.2114149
20.748265578502888,-0.9945995895454051,,11788526,2182894448.322861
27.668256829150174,-0.9978484680198864,,11137316,5176458496.987642
36.896213472271015,-0.9978116178379304,,26863086,12275317568.205338
49.20189143094657,-0.9977731348894103,,64822630,29109365309.888714
65.61177672614025,-0.9985814229133657,,97923218,69029183484.36963
87.49471046662279,-0.9986192720385219,,226016870,163693990638.128
