alpha,sigma,mass_frac_gt8_mean,mass_frac_gt8_std,mass_frac_gt20_mean,mass_frac_gt20_std
2.0,0.49230769230769234,0.9817920226653459,0.0001343827433054877,0.8918748908935018,0.0007508529563905027
2.242857142857143,0.44102564102564107,0.9704680303202144,0.0002960222549422705,0.8588594100623681,0.0012395298508426922
2.7,0.5538461538461539,0.9278335202485333,0.0012116529433059753,0.7663010153648532,0.0033447485488595535
2.6571428571428575,0.46153846153846156,0.9333693007772008,0.001146921714025198,0.7771486941111249,0.00399794098429801
2.242857142857143,0.4205128205128205,0.9703990054759569,0.0003219705646428271,0.858248473522607,0.0013302296668770983
2.6571428571428575,0.4512820512820513,0.9332500878973257,0.0011003269109566259,0.7758307105180227,0.0040627371861494095
2.1,0.5743589743589743,0.9778214482751711,0.00022180794515106036,0.8792583778564265,0.0009963088397754647
2.242857142857143,0.4307692307692308,0.9704560085768571,0.0003036396542795751,0.8587009220205216,0.001477338981103683
2.1714285714285713,0.4512820512820513,0.9743468155552116,0.00028598067394212256,0.8693664128748995,0.0015273534962174395
2.7,0.5641025641025641,0.9277566940158174,0.0013091561041139602,0.7656307818402395,0.004324803226296239
