iz,z,n_ivols,group_id,r,xi,bin_idx
iz271,0.0,1,0,0.1193459428265014,-1.0,0
iz271,0.0,1,0,0.16552313855642942,-1.0,1
iz271,0.0,1,0,0.2295671620559444,-1.0,2
iz271,0.0,1,0,0.3183910258954741,135.49064206860263,3
iz271,0.0,1,0,0.4415825175643734,-1.0,4
iz271,0.0,1,0,0.6124391203240318,-1.0,5
iz271,0.0,1,0,0.8494033644540623,-1.0,6
iz271,0.0,1,0,1.1780535429613865,4.3891495818586606,7
iz271,0.0,1,0,1.6338646727351542,1.0200730723205669,8
iz271,0.0,1,0,2.2660377236346485,1.650220233147699,9
iz271,0.0,1,0,3.142810448517274,1.4125686942275988,10
iz271,0.0,1,0,4.358823073548201,1.3938124528113125,11
iz271,0.0,1,0,6.045333912982174,0.39579773595101186,12
iz271,0.0,1,0,8.384387597935437,0.15104422906406567,13
iz271,0.0,1,0,11.628465260033158,0.23834142652191703,14
iz271,0.0,1,0,16.127737741644342,0.08798956293174443,15
iz271,0.0,1,0,22.367863587057556,0.03963338303742825,16
iz271,0.0,1,0,31.02241178918152,0.030240221478508023,17
iz271,0.0,1,0,43.02556788545526,0.012509148777999357,18
iz271,0.0,2,0,0.1193459428265014,-1.0,0
iz271,0.0,2,0,0.16552313855642942,-1.0,1
iz271,0.0,2,0,0.2295671620559444,-1.0,2
iz271,0.0,2,0,0.3183910258954741,-1.0,3
iz271,0.0,2,0,0.4415825175643734,23.83406665303984,4
iz271,0.0,2,0,0.6124391203240318,3.65441054845596,5
iz271,0.0,2,0,0.8494033644540623,9.467977487332558,6
iz271,0.0,2,0,1.1780535429613865,4.231766564184663,7
iz271,0.0,2,0,1.6338646727351542,2.677024058867679,8
iz271,0.0,2,0,2.2660377236346485,2.0322569051923964,9
iz271,0.0,2,0,3.142810448517274,0.48104191899325444,10
iz271,0.0,2,0,4.358823073548201,0.7429282340351766,11
iz271,0.0,2,0,6.045333912982174,0.2292105943986631,12
iz271,0.0,2,0,8.384387597935437,0.27162025657063626,13
iz271,0.0,2,0,11.628465260033158,0.13418084230237848,14
iz271,0.0,2,0,16.127737741644342,0.09954559529881446,15
iz271,0.0,2,0,22.367863587057556,0.05398443401242514,16
iz271,0.0,2,0,31.02241178918152,0.023359492642245572,17
iz271,0.0,2,0,43.02556788545526,0.0067001772380899105,18
iz271,0.0,4,0,0.1193459428265014,-1.0,0
iz271,0.0,4,1,0.1193459428265014,-1.0,0
iz271,0.0,4,2,0.1193459428265014,324.1339528720413,0
iz271,0.0,4,3,0.1193459428265014,-1.0,0
iz271,0.0,4,0,0.16552313855642942,56.06023175709999,1
iz271,0.0,4,1,0.16552313855642942,-1.0,1
iz271,0.0,4,2,0.16552313855642942,-1.0,1
iz271,0.0,4,3,0.16552313855642942,-1.0,1
iz271,0.0,4,0,0.2295671620559444,20.388502197249228,2
iz271,0.0,4,1,0.2295671620559444,20.944563773382214,2
iz271,0.0,4,2,0.2295671620559444,21.841573140789983,2
iz271,0.0,4,3,0.2295671620559444,-1.0,2
iz271,0.0,4,0,0.3183910258954741,15.034566006991767,3
iz271,0.0,4,1,0.3183910258954741,31.902870249997363,3
iz271,0.0,4,2,0.3183910258954741,24.685859780071308,3
iz271,0.0,4,3,0.3183910258954741,31.352375019689866,3
iz271,0.0,4,0,0.4415825175643734,14.026023366519494,4
iz271,0.0,4,1,0.4415825175643734,17.500006685049282,4
iz271,0.0,4,2,0.4415825175643734,11.837477204391263,4
iz271,0.0,4,3,0.4415825175643734,8.095242293360895,4
iz271,0.0,4,0,0.6124391203240318,4.632366429194013,5
iz271,0.0,4,1,0.6124391203240318,8.246076095325739,5
iz271,0.0,4,2,0.6124391203240318,13.436030188000101,5
iz271,0.0,4,3,0.6124391203240318,4.682112970383488,5
iz271,0.0,4,0,0.8494033644540623,6.178218267352772,6
iz271,0.0,4,1,0.8494033644540623,5.065161275801359,6
iz271,0.0,4,2,0.8494033644540623,7.56775379259121,6
iz271,0.0,4,3,0.8494033644540623,7.945528338047129,6
iz271,0.0,4,0,1.1780535429613865,3.43172303738615,7
iz271,0.0,4,1,1.1780535429613865,3.5469396558490702,7
iz271,0.0,4,2,1.1780535429613865,4.746972717259994,7
iz271,0.0,4,3,1.1780535429613865,4.7482552320208695,7
iz271,0.0,4,0,1.6338646727351542,2.5003658072152644,8
iz271,0.0,4,1,1.6338646727351542,3.504428735753166,8
iz271,0.0,4,2,1.6338646727351542,2.358017301187768,8
iz271,0.0,4,3,1.6338646727351542,2.1123163022801617,8
iz271,0.0,4,0,2.2660377236346485,1.5574438244078115,9
iz271,0.0,4,1,2.2660377236346485,1.578299031878045,9
iz271,0.0,4,2,2.2660377236346485,1.9211846685637046,9
iz271,0.0,4,3,2.2660377236346485,1.288376067385284,9
iz271,0.0,4,0,3.142810448517274,1.0589796643938465,10
iz271,0.0,4,1,3.142810448517274,0.8559292538271788,10
iz271,0.0,4,2,3.142810448517274,1.2344696702331022,10
iz271,0.0,4,3,3.142810448517274,1.119212990950436,10
iz271,0.0,4,0,4.358823073548201,0.8279226385633951,11
iz271,0.0,4,1,4.358823073548201,0.663856557796064,11
iz271,0.0,4,2,4.358823073548201,0.6718038071780339,11
iz271,0.0,4,3,4.358823073548201,0.7431952727311859,11
iz271,0.0,4,0,6.045333912982174,0.3469349661143344,12
iz271,0.0,4,1,6.045333912982174,0.4564580697230296,12
iz271,0.0,4,2,6.045333912982174,0.4934777343056198,12
iz271,0.0,4,3,6.045333912982174,0.4131847078722761,12
iz271,0.0,4,0,8.384387597935437,0.2745082884573997,13
iz271,0.0,4,1,8.384387597935437,0.2666526150815607,13
iz271,0.0,4,2,8.384387597935437,0.2968610375578884,13
iz271,0.0,4,3,8.384387597935437,0.2591905355156532,13
iz271,0.0,4,0,11.628465260033158,0.14061313521379315,14
iz271,0.0,4,1,11.628465260033158,0.16047394222542088,14
iz271,0.0,4,2,11.628465260033158,0.15360380725323308,14
iz271,0.0,4,3,11.628465260033158,0.15998447221748857,14
iz271,0.0,4,0,16.127737741644342,0.07673582804128887,15
iz271,0.0,4,1,16.127737741644342,0.07732435186607067,15
iz271,0.0,4,2,16.127737741644342,0.09362693837465641,15
iz271,0.0,4,3,16.127737741644342,0.09383805009393864,15
iz271,0.0,4,0,22.367863587057556,0.05168397165016825,16
iz271,0.0,4,1,22.367863587057556,0.04336906718201394,16
iz271,0.0,4,2,22.367863587057556,0.041125287609947714,16
iz271,0.0,4,3,22.367863587057556,0.04319770146857316,16
iz271,0.0,4,0,31.02241178918152,0.030808674401976877,17
iz271,0.0,4,1,31.02241178918152,0.01809790115483212,17
iz271,0.0,4,2,31.02241178918152,0.02071782501833508,17
iz271,0.0,4,3,31.02241178918152,0.023028702136317136,17
iz271,0.0,4,0,43.02556788545526,0.012114648481643453,18
iz271,0.0,4,1,43.02556788545526,0.006291266860919187,18
iz271,0.0,4,2,43.02556788545526,0.01202110600805062,18
iz271,0.0,4,3,43.02556788545526,0.011467089062386027,18
iz271,0.0,8,0,0.12359145261369074,37.97381503121468,0
iz271,0.0,8,1,0.1193459428265014,-1.0,0
iz271,0.0,8,2,0.1298519623121222,38.13349235567911,0
iz271,0.0,8,3,0.1193459428265014,-1.0,0
iz271,0.0,8,0,0.17136001206340468,42.82692653504317,1
iz271,0.0,8,1,0.16552313855642942,-1.0,1
